Species	Tleaf	VPA	CO2	PAR	Psoil	Pleaf	A	Gs	Vcmax	WeibullB	WeibullC
Juniperus monosperma	16.76	0.61839096511694	38.2	2000	4.6	5.3	1.785	0.014	40	8.8	3
Juniperus monosperma	17.24	0.727333442616648	37.2	2000	4.3	4.7	3.611	0.03	40	8.8	3
Juniperus monosperma	18.6	0.673082739193765	37.9	2000	4.3	5.3	2.375	0.016	40	8.8	3
Juniperus monosperma	19.5	0.666805874389064	38.4	2000	4.6	5.3	1.471	0.012	40	8.8	3
Juniperus monosperma	20.76	0.830497371673553	37.2	2000	4.3	4.7	3.829	0.031	40	8.8	3
Juniperus monosperma	20.51	0.683049754972063	38.2	2000	4.3	5.3	1.695	0.011	40	8.8	3
Juniperus monosperma	21.53	0.659046673817461	38.7	2000	4.6	5.3	0.84	0.006	40	8.8	3
Juniperus monosperma	22.24	0.792767759511663	37.7	2000	4.3	4.7	2.876	0.021	40	8.8	3
Juniperus monosperma	23.78	0.734645072346137	38.3	2000	4.3	5.3	1.841	0.013	40	8.8	3
Juniperus monosperma	26.81	0.615675076149063	38.8	2000	4.6	5.3	0.545	0.006	40	8.8	3
Juniperus monosperma	27.59	0.710505012151476	38.3	2000	4.3	4.7	1.619	0.013	40	8.8	3
Juniperus monosperma	28.85	0.600955411912361	38.7	2000	4.3	5.3	0.901	0.007	40	8.8	3
Juniperus monosperma	28.31	0.408570492845335	38.8	2000	4.6	5.3	0.367	0.004	40	8.8	3
Juniperus monosperma	28.6	0.45388113858493	38.8	2000	4.3	4.7	0.933	0.007	40	8.8	3
Juniperus monosperma	29.53	0.389876587125134	39	2000	4.3	5.3	0.563	0.005	40	8.8	3
Juniperus monosperma	28.24	0.342948721747965	39.2	2000	4.6	5.3	0.118	0.003	40	8.8	3
Juniperus monosperma	29.1	0.398752501699781	39	2000	4.3	4.7	0.676	0.006	40	8.8	3
Juniperus monosperma	30.61	0.333656175779054	39.2	2000	4.3	5.3	0.286	0.003	40	8.8	3
Juniperus monosperma	22.74	1.87546826835722	35.9	2000	1	1.7	7.347	0.1256	40	8.8	3
Juniperus monosperma	23.58	1.99942192710218	35.3	2000	1.05	2.45	8.862	0.1568	40	8.8	3
Juniperus monosperma	25.87	2.00558500315251	35.9	2000	0.95	2.2	5.546	0.0923	40	8.8	3
Juniperus monosperma	25.55	2.11294417350342	35.4	2000	1	1.7	7.218	0.1433	40	8.8	3
Juniperus monosperma	27.65	2.32345766282505	34.8	2000	1.05	2.45	8.388	0.1561	40	8.8	3
Juniperus monosperma	27.9	2.19785405988806	35.3	2000	0.95	2.2	6.483	0.0964	40	8.8	3
Juniperus monosperma	28.77	2.28261336738765	35.6	2000	1	1.7	6.186	0.1168	40	8.8	3
Juniperus monosperma	30.41	2.48373170763627	35	2000	1.05	2.45	7.692	0.1358	40	8.8	3
Juniperus monosperma	34.49	2.59593368459754	36	2000	0.95	2.2	4.546	0.0868	40	8.8	3
Juniperus monosperma	36.33	2.42921550575003	36.8	2000	1	1.7	3.347	0.0714	40	8.8	3
Juniperus monosperma	36.77	2.68642922293695	35.7	2000	1.05	2.45	5.464	0.0932	40	8.8	3
Juniperus monosperma	35.83	2.40561448763836	36.3	2000	0.95	2.2	3.887	0.0691	40	8.8	3
Juniperus monosperma	34	2.18908603631011	36.5	2000	1	1.7	4.375	0.0701	40	8.8	3
Juniperus monosperma	33.7	2.29087901607572	36.1	2000	1.05	2.45	5.465	0.0892	40	8.8	3
Juniperus monosperma	31.01	2.00500337219389	36.2	2000	0.95	2.2	4.385	0.064	40	8.8	3
Juniperus monosperma	33.3	2.04524579658784	36.6	2000	1	1.7	3.824	0.0619	40	8.8	3
Juniperus monosperma	32.26	2.18492347857781	35.7	2000	1.05	2.45	6.088	0.089	40	8.8	3
Juniperus monosperma	30.9	1.85693239450233	36.5	2000	0.95	2.2	4.177	0.0529	40	8.8	3
Juniperus monosperma	17.7	1.28530990094764	36.1	2000	2.83	3.75	5.744	0.0391	40	8.8	3
Juniperus monosperma	19.27	1.40460789994987	35.9	2000	2.53	3.65	6.587	0.0459	40	8.8	3
Juniperus monosperma	21.67	1.44113109690353	37.6	2000	3.02	3.7	5.263	0.0464	40	8.8	3
Juniperus monosperma	21.84	1.58817072478816	36	2000	2.83	3.75	6.178	0.0586	40	8.8	3
Juniperus monosperma	22.85	1.61395819855815	36.2	2000	2.53	3.65	6.347	0.0542	40	8.8	3
Juniperus monosperma	25.38	1.6000852472448	37.5	2000	3.02	3.7	5.048	0.0429	40	8.8	3
Juniperus monosperma	25.65	1.74240833505352	36	2000	2.83	3.75	5.433	0.0532	40	8.8	3
Juniperus monosperma	26.55	1.80217582439582	35.9	2000	2.53	3.65	6.47	0.0646	40	8.8	3
Juniperus monosperma	28.75	1.49803939194084	37.2	2000	3.02	3.7	5.072	0.0453	40	8.8	3
Juniperus monosperma	28.32	1.40080669195133	37	2000	2.83	3.75	4.071	0.0349	40	8.8	3
Juniperus monosperma	29.65	1.5984883015681	35.9	2000	2.53	3.65	6.024	0.051	40	8.8	3
Juniperus monosperma	31.07	1.22037933277504	38	2000	3.02	3.7	3.358	0.0274	40	8.8	3
Juniperus monosperma	29.53	1.20987658712513	37.6	2000	2.83	3.75	3.169	0.0271	40	8.8	3
Juniperus monosperma	30.77	1.44395413569616	37	2000	2.53	3.65	4.545	0.0392	40	8.8	3
Juniperus monosperma	32.32	1.08127503412771	38.2	2000	3.02	3.7	3.011	0.024	40	8.8	3
Juniperus monosperma	31.88	1.20247306147948	37.7	2000	2.83	3.75	2.707	0.023	40	8.8	3
