Species	Tleaf	VPA	CO2	PAR	Psoil	Pleaf	A	Gs	Vcmax	WeibullB	WeibullC
Juniperus osteosperma	13.57666667	0.255162990144626	36.877	224.6666667	1.07	1.3	2.33	0.047133333	31.3	9	3
Juniperus osteosperma	19.17333333	0.481195285656799	36.26766667	1496	1.07	1.9	6.883333333	0.0671	31.3	9	3
Juniperus osteosperma	22.88333333	0.592915806016602	36.186	1792	1.07	2.2	6.106666667	0.0415	31.3	9	3
Juniperus osteosperma	24.98666667	0.695159083284909	36.35666667	1639.666667	1.07	2.2	5.146666667	0.052033333	31.3	9	3
Juniperus osteosperma	26.2	0.64127523472912	36.34966667	1820	1.07	2.3	6.366666667	0.0563	31.3	9	3
Juniperus osteosperma	27.67333333	0.568505483225519	36.55233333	2016	1.07	2.15	2.79	0.025133333	31.3	9	3
Juniperus osteosperma	29.64333333	0.546894250383548	36.533	2014.666667	1.07	2.05	3.76	0.030333333	31.3	9	3
Juniperus osteosperma	28.50333333	0.452004573681365	36.73133333	1423.333333	1.07	2.05	2.03	0.020566667	31.3	9	3
Juniperus osteosperma	29.53333333	0.527335705067689	36.57966667	1191	1.07	1.85	3.033333333	0.0343	31.3	9	3
Juniperus osteosperma	28.36666667	0.414590581241318	36.891	1309	1.07	2.05	3.163333333	0.027033333	31.3	9	3
Juniperus osteosperma	18.26666667	0.388782567361418	36.60833333	482.6666667	1.07	1.5	4.85	0.0787	31.3	9	3
Juniperus osteosperma	22.57	0.663770470738805	36.56133333	1189.333333	1.07	1.85	7.516666667	0.096733333	31.3	9	3
Juniperus osteosperma	27.12	0.853733276486174	36.07466667	1591.666667	1.07	2.4	9.356666667	0.100866667	31.3	9	3
Juniperus osteosperma	27.84333333	0.665463626973196	36.52566667	1811	1.07	2.3	5.66	0.0386	31.3	9	3
Juniperus osteosperma	28.53333333	0.618782435284091	36.56766667	1724	1.07	2.2	6.67	0.0697	31.3	9	3
Juniperus osteosperma	31.13	0.55580098055074	36.81933333	1936	1.07	2.25	1.966666667	0.040433333	31.3	9	3
Juniperus osteosperma	30.48333333	0.605313112531539	36.681	1027	1.07	2	2.933333333	0.0445	31.3	9	3
Juniperus osteosperma	32.53	0.545551726682089	36.727	1702	1.07	2.15	2.566666667	0.036066667	31.3	9	3
Juniperus osteosperma	30.81333333	0.518256628353253	36.822	1382.666667	1.07	1.95	1.703333333	0.043733333	31.3	9	3
Juniperus osteosperma	28.88666667	0.472720237203705	36.80133333	718	1.07	1.95	1.293333333	0.0365	31.3	9	3
Juniperus osteosperma	19.41333333	0.524625975486673	36.86033333	219.6666667	2.4275	2.8	1.456666667	0.0206	31.3	9	3
Juniperus osteosperma	25.49666667	0.902604361819692	36.559	753	2.4275	3.05	2.97	0.0246	31.3	9	3
Juniperus osteosperma	31.05	1.36524894183449	36.33466667	1147	2.4275	3.3	3.436666667	0.023466667	31.3	9	3
Juniperus osteosperma	33.87333333	1.45168691564425	36.52533333	1639.666667	2.4275	3.43	1.89	0.015366667	31.3	9	3
Juniperus osteosperma	31.88	0.982473061479482	36.605	501	2.4275	3.45	1.153333333	0.008206667	31.3	9	3
Juniperus osteosperma	31.44	0.766211652018876	36.735	270.6666667	2.4275	3.5	1.123333333	0.0096	31.3	9	3
Juniperus osteosperma	33.35	0.839577521065589	36.947	223.3333333	2.4275	3.6	0.638333333	0.0087	31.3	9	3
Juniperus osteosperma	22.62333333	0.89264165243073	35.8	872.6666667	2.4275	2	4.293333333	0.054733333	31.3	9	3
Juniperus osteosperma	29.4	1.36907392990577	35.65733333	966.6666667	2.4275	2.6	4.23	0.0398	31.3	9	3
Juniperus osteosperma	33.37	1.59198662841332	36.09166667	1700	2.4275	2.55	4.446666667	0.042133333	31.3	9	3
Juniperus osteosperma	36.91666667	1.36285189391795	36.54733333	458	2.4275	2.75	2.063333333	0.0197	31.3	9	3
Juniperus osteosperma	32.56333333	0.978084032750569	36.81433333	495	2.4275	2.9	0.873	0.016566667	31.3	9	3
Juniperus osteosperma	34.32333333	1.04892911284815	36.425	627.6666667	2.4275	2.8	1.773333333	0.022666667	31.3	9	3
Juniperus osteosperma	29.39333333	0.767499707089887	36.93233333	297.6666667	2.4275	2.75	0.482666667	0.034066667	31.3	9	3

