Species	Tleaf	VPA	CO2	PAR	Psoil	Pleaf	A	Gs	Vcmax	WeibullB	WeibullC
Anacardium excelsum	28.2	2.86822243158588	39	903.25	0.3	0.41	NA	0.150635	27.2	1.8	2.1
Anacardium excelsum	29.24	3.04627921817996	39	739	0.3	0.425	NA	0.0847	27.2	1.8	2.1
Anacardium excelsum	32.67	3.70346927112669	39	1067	0.3	0.48	NA	0.07299	27.2	1.8	2.1
Anacardium excelsum	32.115	3.58944775870247	39	1002.75	0.3	0.525	NA	0.07963	27.2	1.8	2.1
Anacardium excelsum	31.605	3.4873719698154	39	850.95	0.3	0.75625	NA	0.07037	27.2	1.8	2.1
Anacardium excelsum	30.16	3.21172920081305	39	536.25	0.3	0.58125	NA	0.05504	27.2	1.8	2.1
Anacardium excelsum	26.6	2.61197435492714	39	746.2315789	0.4	0.5375	NA	0.161473684	27.2	1.8	2.1
Anacardium excelsum	27.88947368	2.81684567777862	39	883.8789474	0.4	0.58	NA	0.162094737	27.2	1.8	2.1
Anacardium excelsum	29.43	3.07982707112239	39	511.7	0.4	0.625	NA	0.13069	27.2	1.8	2.1
Anacardium excelsum	31.34761905	3.43682196075028	39	969.1904762	0.4	0.7	NA	0.089219048	27.2	1.8	2.1
Anacardium excelsum	32.04285714	3.57485274458037	39	704.8095238	0.4	0.7	NA	0.050952381	27.2	1.8	2.1
Anacardium excelsum	32.9	3.75163519286321	39	515.65	0.4	0.7	NA	0.053445	27.2	1.8	2.1
Anacardium excelsum	30.985	3.36668389103386	39	303.24	0.4	0.5575	NA	0.0744	27.2	1.8	2.1
Anacardium excelsum	29.965	3.17602309957719	39	342.08	0.4	0.55	NA	0.080515	27.2	1.8	2.1

