Species	Tleaf	VPA	CO2	PAR	Psoil	Pleaf	A	Gs	Vcmax	WeibullB	WeibullC
Pinus ponderosa	19.42	0.686560854551366	38.35	1066	0.58	1.32	12.2958	0.17043	35	3.75	3.2
Pinus ponderosa	16.99	0.594438306244236	36.14	1033	0.64	1.4	14.2232	0.22034	35	3.75	3.2
Pinus ponderosa	23.16	0.807648095670962	36.43	1370	0.84	1.17	13.6068	0.22908	35	3.75	3.2
Pinus ponderosa	20.18	0.715385447828719	38.04	928.5	0.47	1.19	8.1972	0.16422	35	3.75	3.2
Pinus ponderosa	20.86	1.02961804516867	38.67	1826	0.65	1.18	15.0167	0.08786	35	3.75	3.2
Pinus ponderosa	19.34	0.762364659769273	37.08	1685	0.91	1.07	9.0275	0.1633	35	3.75	3.2
Pinus ponderosa	23.54	0.85042159253502	36.63	2196	0.8	1.39	10.4121	0.17457	35	3.75	3.2
Pinus ponderosa	19.8	0.596412627740636	36.83	1268	0.49	1.23	9.8486	0.14904	35	3.75	3.2
Pinus ponderosa	25.68	1.01626722388018	38.18	1518	0.72	1.59	14.973	0.16721	35	3.75	3.2
Pinus ponderosa	23.59	0.845174311277713	36.04	1444	0.5	1.52	13.2112	0.15686	35	3.75	3.2
Pinus ponderosa	32.19	0.815907301811907	37.13	1916	0.99	1.72	7.5831	0.07866	35	3.75	3.2
Pinus ponderosa	33.45	0.789345553500324	38.52	2079	0.74	1.28	12.6914	0.07498	35	3.75	3.2
Pinus ponderosa	31.59	0.835563654127572	36.48	1473	0.79	1.33	7.6452	0.08855	35	3.75	3.2
Pinus ponderosa	36.43	0.989404315746913	37.75	2072	0.77	1.34	8.6112	0.08165	35	3.75	3.2
Pinus ponderosa	31.13	0.72780098055074	36.39	1386	0.51	1.73	10.948	0.11546	35	3.75	3.2
Pinus ponderosa	30.19	0.732385093034897	36.93	2029	0.7	1.66	9.5105	0.10488	35	3.75	3.2
Pinus ponderosa	30.01	0.647360378310923	36.65	1986	1.01	1.38	9.2851	0.08487	35	3.75	3.2
Pinus ponderosa	32.61	0.586987793307711	39.38	1870	0.59	1.17	5.4579	0.0529	35	3.75	3.2
Pinus ponderosa	32.43	0.681377903100187	36.7	2044	0.72	1.72	7.5026	0.08464	35	3.75	3.2
