Species	Tleaf	VPA	CO2	PAR	Psoil	Pleaf	A	Gs	Vcmax	WeibullB	WeibullC
Astronium graveolens	32.3	2.76651134477733	39	138	1.29375	2.9	NA	0.0066	19.7	4.9	3.3
Astronium graveolens	35.6	2.79023139655088	39	820	1.40625	2.51875	NA	0.00832	19.7	4.9	3.3
Astronium graveolens	33.1	3.66247188054524	39	182	1.321875	2.6	NA	0.0099	19.7	4.9	3.3
Astronium graveolens	33.9	3.02608731311206	39	1130	1.29375	2.9	NA	0.0113	19.7	4.9	3.3
Astronium graveolens	32.2	2.75095057393404	39	105	1.29375	2.9	NA	0.0121	19.7	4.9	3.3
Astronium graveolens	32.1	2.73546587124575	39	390	1.29375	2.9	NA	0.0143	19.7	4.9	3.3
Astronium graveolens	32.2	2.75095057393404	39	172	1.29375	2.9	NA	0.0143	19.7	4.9	3.3
Astronium graveolens	32.9	2.86149101186321	39	680	1.29375	2.9	NA	0.0147	19.7	4.9	3.3
Astronium graveolens	32.8	2.48742503324727	39	107	1.5	2.24375	NA	0.0151	19.7	4.9	3.3
Astronium graveolens	32.4	2.78214849907127	39	211	1.29375	2.9	NA	0.0156	19.7	4.9	3.3
Astronium graveolens	32.9	2.50143269086321	39	115	1.5	2.24375	NA	0.0168	19.7	4.9	3.3
Astronium graveolens	34.3	2.96441126132239	39	1770	1.1375	2.39375	NA	0.0171	19.7	4.9	3.3
Astronium graveolens	33.3	2.55815042258784	39	880	1.5	2.24375	NA	0.0171	19.7	4.9	3.3
Astronium graveolens	32	2.72005692817025	39	152	1.29375	2.9	NA	0.0173	19.7	4.9	3.3
Astronium graveolens	32.4	2.78214849907127	39	166	1.29375	2.9	NA	0.0174	19.7	4.9	3.3
Astronium graveolens	32.1	2.79283281724575	39	171	1.35625	2.55	NA	0.0202	19.7	4.9	3.3
Astronium graveolens	35.5	2.82114159123379	39	1030	1.40625	2.51875	NA	0.0227	19.7	4.9	3.3
Astronium graveolens	31.6	2.7149395943086	39	161	1.35625	2.55	NA	0.0252	19.7	4.9	3.3
Astronium graveolens	34.9	2.6845267475549	39	410	1.40625	2.51875	NA	0.0266	19.7	4.9	3.3
Astronium graveolens	35.1	2.71436764805587	39	470	1.40625	2.51875	NA	0.0269	19.7	4.9	3.3
Astronium graveolens	31.6	2.7149395943086	39	121	1.35625	2.55	NA	0.0271	19.7	4.9	3.3
Astronium graveolens	32.8	2.48742503324727	39	137	1.5	2.24375	NA	0.0271	19.7	4.9	3.3
Astronium graveolens	31.6	2.7149395943086	39	120	1.35625	2.55	NA	0.0286	19.7	4.9	3.3
Astronium graveolens	33.3	2.49678013358784	39	207	1.40625	2.51875	NA	0.0296	19.7	4.9	3.3
Astronium graveolens	33.8	2.27299935365624	39	84	1.29375	2.9	NA	0.033	19.7	4.9	3.3
Astronium graveolens	32	2.72005692817025	39	560	1.29375	2.9	NA	0.0334	19.7	4.9	3.3
Astronium graveolens	32.8	2.72611982624727	39	186	1.1375	2.39375	NA	0.0335	19.7	4.9	3.3
Astronium graveolens	31.5	2.69958951926771	39	117	1.35625	2.55	NA	0.034	19.7	4.9	3.3
Astronium graveolens	31.8	2.68946507443299	39	90	1.29375	2.9	NA	0.0348	19.7	4.9	3.3
Astronium graveolens	34.4	2.98092054957922	39	1740	1.1375	2.39375	NA	0.0371	19.7	4.9	3.3
Astronium graveolens	33	2.51550877873732	39	198	1.5	2.24375	NA	0.0386	19.7	4.9	3.3
Astronium graveolens	32.7	2.47348552799382	39	136	1.5	2.24375	NA	0.0392	19.7	4.9	3.3
Astronium graveolens	34.7	2.65497074707831	39	600	1.40625	2.51875	NA	0.0414	19.7	4.9	3.3
Astronium graveolens	33.6	2.41419342431783	39	83	1.29375	2.9	NA	0.0415	19.7	4.9	3.3
Astronium graveolens	31.5	2.69958951926771	39	149	1.35625	2.55	NA	0.0419	19.7	4.9	3.3
Astronium graveolens	31.7	2.3377781804197	39	95	1.5	2.24375	NA	0.0452	19.7	4.9	3.3
Astronium graveolens	31.9	2.36438981891493	39	87	1.5	2.24375	NA	0.0454	19.7	4.9	3.3
Astronium graveolens	30.1	3.26043630797479	39	280	0.475	0.675	NA	0.0461	19.7	4.9	3.3
Astronium graveolens	33.3	2.37403955558784	39	83	1.29375	2.9	NA	0.0464	19.7	4.9	3.3
Astronium graveolens	34	2.55373561331011	39	110	1.40625	2.51875	NA	0.0469	19.7	4.9	3.3
Astronium graveolens	31.5	3.34652684026771	39	320	0.475	0.675	NA	0.0486	19.7	4.9	3.3
Astronium graveolens	31.7	3.3846775414197	39	730	0.475	0.675	NA	0.0491	19.7	4.9	3.3
Astronium graveolens	31.5	3.34652684026771	39	183	0.475	0.675	NA	0.0494	19.7	4.9	3.3
Astronium graveolens	29.7	2.50260838885534	39	84	1.5	2.24375	NA	0.0505	19.7	4.9	3.3
Astronium graveolens	33.5	2.40074381514041	39	153	1.29375	2.9	NA	0.0524	19.7	4.9	3.3
Astronium graveolens	32.4	3.52119645507127	39	147	0.475	0.675	NA	0.0551	19.7	4.9	3.3
Astronium graveolens	33.5	2.23524899714041	39	129	1.29375	2.9	NA	0.0561	19.7	4.9	3.3
Astronium graveolens	29.7	2.85285735985534	39	177	0.475	0.675	NA	0.0574	19.7	4.9	3.3
Astronium graveolens	29.3	3.11388467593827	39	120	0.475	0.675	NA	0.0585	19.7	4.9	3.3
Astronium graveolens	29.7	2.85285735985534	39	89	0.475	0.675	NA	0.059	19.7	4.9	3.3
Astronium graveolens	33.4	2.38735928010797	39	340	1.29375	2.9	NA	0.0591	19.7	4.9	3.3
Astronium graveolens	28.9	2.45349522505664	39	120	0.94625	1.06625	NA	0.0611	19.7	4.9	3.3
Astronium graveolens	29.3	3.11388467593827	39	96	0.475	0.675	NA	0.0613	19.7	4.9	3.3
Astronium graveolens	33.5	2.40074381514041	39	103	1.29375	2.9	NA	0.0624	19.7	4.9	3.3
Astronium graveolens	30.3	2.79738590653784	39	89	1.321875	2.6	NA	0.0634	19.7	4.9	3.3
Astronium graveolens	32	2.85315916617025	39	1290	1.5	2.24375	NA	0.0636	19.7	4.9	3.3
