Species	Tleaf	VPA	CO2	PAR	Psoil	Pleaf	A	Gs	Vcmax	WeibullB	WeibullC
Tapirira guianensis	32.3	3.23065515777733	37	1890	0.525	0.975	NA	0.153	21.6	2	1.6
Tapirira guianensis	33.3	3.41733446858784	37	2020	0.525	1.15	NA	0.134	21.6	2	1.6
Tapirira guianensis	33.3	3.43779123158784	37	2300	0.525	1.075	NA	0.164	21.6	2	1.6
Tapirira guianensis	33.2	3.33722695874641	37	2020	0.525	0.975	NA	0.136	21.6	2	1.6
Tapirira guianensis	31.6	3.0495419193086	37	520	0.525	1.15	NA	0.28	21.6	2	1.6
Tapirira guianensis	33.3	3.37642094258784	37	1980	0.525	1.075	NA	0.202	21.6	2	1.6
Tapirira guianensis	32.6	3.24636792198333	37	2110	0.525	0.975	NA	0.245	21.6	2	1.6
Tapirira guianensis	32.9	3.32156553286321	37	1930	0.525	1.15	NA	0.242	21.6	2	1.6
Tapirira guianensis	34.5	3.60990602726179	37	2010	0.525	1.075	NA	0.0909	21.6	2	1.6
Tapirira guianensis	26.8	3.10085333633865	37	350	0.438333333	1.125	NA	0.449	21.6	2	1.6
Tapirira guianensis	27.4	3.21186346792688	37	290	0.438333333	1.1	NA	0.324	21.6	2	1.6
Tapirira guianensis	28.4	3.24986065767819	37	809	0.438333333	1.325	NA	0.229	21.6	2	1.6
Tapirira guianensis	28.8	3.12815550822299	37	1050	0.438333333	1.125	NA	0.292	21.6	2	1.6
Tapirira guianensis	29.5	3.25714482785697	37	1200	0.438333333	1.1	NA	0.399	21.6	2	1.6
Tapirira guianensis	29.3	3.22797649793827	37	930	0.438333333	1.325	NA	0.357	21.6	2	1.6
Tapirira guianensis	29	2.96431014740943	37	580	0.438333333	1.125	NA	0.275	21.6	2	1.6
Tapirira guianensis	29	2.96431014740943	37	620	0.438333333	1.1	NA	0.427	21.6	2	1.6
Tapirira guianensis	29.4	3.03352616690577	37	1020	0.438333333	1.325	NA	0.39	21.6	2	1.6
Tapirira guianensis	28.2	2.92174859658588	37	203	0.438333333	1.25	NA	0.15	21.6	2	1.6
Tapirira guianensis	28.1	2.90480483211163	37	222	0.438333333	1.375	NA	0.178	21.6	2	1.6
Tapirira guianensis	28.4	2.95589437867819	37	490	0.438333333	1.25	NA	0.207	21.6	2	1.6
Tapirira guianensis	28.6	2.94342961358493	37	650	0.438333333	1.25	NA	0.254	21.6	2	1.6
Tapirira guianensis	28.4	2.89400674067819	37	192	0.438333333	1.375	NA	0.222	21.6	2	1.6
Tapirira guianensis	28.6	2.92777716958493	37	490	0.438333333	1.25	NA	0.278	21.6	2	1.6
Tapirira guianensis	28.1	2.82878230311163	37	290	0.438333333	1.25	NA	0.285	21.6	2	1.6
Tapirira guianensis	28	2.81236531617326	37	290	0.438333333	1.375	NA	0.272	21.6	2	1.6
Tapirira guianensis	28.2	2.86057583658588	37	440	0.438333333	1.25	NA	0.172	21.6	2	1.6
Tapirira guianensis	27.2	2.77054575941083	37	157	0.438333333	1.3	NA	0.231	21.6	2	1.6
Tapirira guianensis	27.4	2.80317109992688	37	156	0.438333333	1.45	NA	0.203	21.6	2	1.6
Tapirira guianensis	27.4	2.80317109992688	37	86	0.438333333	1.175	NA	0.0937	21.6	2	1.6
Tapirira guianensis	27.4	2.87615187992688	37	179	0.438333333	1.3	NA	0.162	21.6	2	1.6
Tapirira guianensis	27.8	2.94413247997002	37	370	0.438333333	1.45	NA	0.121	21.6	2	1.6
Tapirira guianensis	28.8	3.12023810422299	37	709	0.438333333	1.175	NA	0.14	21.6	2	1.6

