Species	Tleaf	VPA	CO2	PAR	Psoil	Pleaf	A	Gs	Vcmax	WeibullB	WeibullC
Quercus ilex SV	26.11	1.55324887308129	39.534	1499	0.5	NA	7.832191369	0.10969784	V	4.2	1.4
Quercus ilex SV	24.14	0.818985196554832	39.633	1668	2.3	NA	5.696533083	0.035517755	V	4.2	1.4
Quercus ilex SV	20.28	0.969040764534306	38.886	1501	0.65	NA	16.13504537	0.157362463	V	4.2	1.4
Quercus ilex SV	20.39	0.975253285674137	38.888	1501	0.65	NA	15.9872554	0.158324238	V	4.2	1.4
Quercus ilex SV	32.18	1.47319602575455	39.353	1501	1.9	NA	9.433713286	0.067613537	V	4.2	1.4
Quercus ilex SV	19.25	1.06182707825833	39.078	1501	0.55	NA	13.41025577	0.14272459	V	4.2	1.4
Quercus ilex SV	18.52	1.06237674080381	39.806	1498	0.55	NA	3.643061271	0.065932436	V	4.2	1.4
Quercus ilex SV	24.89	2.13697800143259	39.617	1502	0.683333333	NA	6.048801608	0.051001223	V	4.2	1.4
Quercus ilex SV	24.92	0.962610634667858	39.675	1502	1.683333333	NA	3.874587012	0.029236752	V	4.2	1.4
Quercus ilex SV	18.51	0.731041787661689	39.342	1498	0.625	NA	8.693932411	0.087279161	V	4.2	1.4
Quercus ilex SV	29.93	1.25592030229904	39.773	1501	3.0825	NA	3.510519251	0.029333441	V	4.2	1.4
Quercus ilex SV	18.79	0.918698210746427	39.167	1502	0.55	NA	11.66889157	0.109194065	V	4.2	1.4
Quercus ilex SV	24.82	0.96386930693382	30.017	1499	3.35	NA	0.351960852	0.012278189	V	4.2	1.4
Quercus ilex SV	24.92	1.23261063466786	39.342	1499	0.375	NA	10.38241595	0.081590977	V	4.2	1.4
Quercus ilex SV	34.64	1.8115842777896	39.74	1499	0.65	NA	4.682105605	0.045577516	V	4.2	1.4
Quercus ilex SV	24.24	1.09707367734143	39.996	1501	3.4	NA	0.08382987	0.010075551	V	4.2	1.4
Quercus ilex SV	33.53	1.531460692499	39.881	1502	2.715	NA	1.59842481	0.035828925	V	4.2	1.4
Quercus ilex SV	25.48	1.0593790150949	30.01	1499	3.4	NA	0.242225246	0.013424633	V	4.2	1.4
Quercus ilex SV	26.12	2.06524768198782	39.169	1501	0.59	NA	12.08957634	0.093929734	V	4.2	1.4
