Species	Tleaf	VPA	CO2	PAR	Psoil	Pleaf	A	Gs	Vcmax	WeibullB	WeibullC
Corylus avellana	19.14	1.25236412822497	38.821	1199.97	0.854235	1.034	9.071467189	0.147573263	20.4	2.3	3.5
Corylus avellana	19.51	1.28638867584515	39.03	1200.04	0.8656886	1.034	7.446110738	0.13439417	20.4	2.3	3.5
Corylus avellana	20.1	1.205323400202	38.909	1198.96	0.8722695	1.034	8.44572652	0.137772157	20.4	2.3	3.5
Corylus avellana	19.93	1.16064010203404	39.034	1199.49	0.8500671	1.034	8.03976868	0.163005994	20.4	2.3	3.5
Corylus avellana	19.28	1.3290950220756	38.811	1200.17	0.7846732	1.034	9.276713141	0.193810695	20.4	2.3	3.5
Corylus avellana	19.18	1.11545472457174	38.904	1200.2	0.858049	1.034	8.953933524	0.162155511	20.4	2.3	3.5
Corylus avellana	19.48	1.32586038823986	39.19	1200.02	0.8175115	1.034	6.353006018	0.168312624	20.4	2.3	3.5
Corylus avellana	19.96	1.19979749488786	39.179	1199.64	0.8252796	1.034	6.809575687	0.179255361	20.4	2.3	3.5
Corylus avellana	19.81	1.19889347178225	39.015	1200.37	0.9190786	1.034	7.752967441	0.098048144	20.4	2.3	3.5
Corylus avellana	19.83	1.29322852628835	39.155	1199.28	0.9125086	1.034	6.533881006	0.096133354	20.4	2.3	3.5
Corylus avellana	20.48	1.33308696791012	38.813	1200.63	0.8606617	1.034	9.170734562	0.133609425	20.4	2.3	3.5
Corylus avellana	21.51	1.36238181359304	39.193	1200.04	0.9086826	1.034	6.241042428	0.094155478	20.4	2.3	3.5
Corylus avellana	19.85	1.29556635240161	39.052	1199.25	0.8348857	1.034	7.254657291	0.158232836	20.4	2.3	3.5
Corylus avellana	20.49	1.28635974125206	39.131	1199.89	0.8987635	1.034	6.513681498	0.107706683	20.4	2.3	3.5
Corylus avellana	19.98	1.43240641310312	39.177	1199.71	1.0616003	1.2	6.688081865	0.095531636	20.4	2.3	3.5
Corylus avellana	21.79	1.49673657734219	39.382	1199.79	1.6025965	1.7	4.893033774	0.051109386	20.4	2.3	3.5
Corylus avellana	20.96	1.30299130888296	40.005	1199.31	1.8104622	1.83	0.209051304	0.010375481	20.4	2.3	3.5
Corylus avellana	19.79	1.19967590703158	40.014	1199.83	1.6278187	1.64	0.004503769	0.008086279	20.4	2.3	3.5
Corylus avellana	20.29	1.50712821292723	40.025	1200.25	0.8751366	0.9	-0.04505576	0.017113716	20.4	2.3	3.5
Corylus avellana	19.8	1.19303602474064	40.048	1200.18	1.9777375	2	-0.088040026	0.010999008	20.4	2.3	3.5
Corylus avellana	19.8	1.17410157874064	40.046	1199.74	1.7596772	1.78	-0.00566056	0.012482061	20.4	2.3	3.5
Corylus avellana	19.8	1.17703707674064	40.038	1200.07	1.8778748	1.9	0.380307084	0.012242183	20.4	2.3	3.5
Corylus avellana	19.81	1.19654303678225	40.03	1200.53	1.3129043	1.33	0.513976109	0.013306934	20.4	2.3	3.5
Corylus avellana	21.39	1.32830666054865	40.021	1199.09	1.4763348	1.5	0.560415659	0.015404228	20.4	2.3	3.5
Corylus avellana	20.12	1.46698961618454	39.461	1199.27	1.0884553	1.23	4.602512326	0.094674777	20.4	2.3	3.5
Corylus avellana	22.49	1.5331831382798	39.451	1200.14	1.4460996	1.54	4.465638667	0.052806186	20.4	2.3	3.5
Corylus avellana	19.85	1.28995611840161	39.547	1199.92	1.1005462	1.19	3.706080963	0.068331561	20.4	2.3	3.5
Corylus avellana	21.34	1.43726275902884	39.869	1200.97	2.8401599	2.92	0.534215764	0.006644685	20.4	2.3	3.5
Corylus avellana	19.58	1.53739362539458	39.662	1199.7	2.1771959	2.23	2.509064327	0.015608294	20.4	2.3	3.5
Corylus avellana	19.46	1.49510513909369	39.605	1199.67	1.6825378	1.7	3.410815733	0.008928148	20.4	2.3	3.5
Corylus avellana	19.75	1.12257406140007	39.848	1199.8	1.8017187	1.83	1.019726439	0.017499319	20.4	2.3	3.5
Corylus avellana	19.32	1.29682018293226	39.862	1199.78	2.2767391	2.31	1.564142491	0.010240102	20.4	2.3	3.5

