Species	Tleaf	VPA	CO2	PAR	Psoil	Pleaf	A	Gs	Vcmax	WeibullB	WeibullC
Quercus douglasii	20.24	1.3951691351541	15.09	1399	0.300375	1.136111111	5.97	0.296	V	2.1	0.3
Quercus douglasii	20.25	1.43063585339506	20.03	1400	0.300375	1.136111111	8.77	0.324	V	2.1	0.3
Quercus douglasii	20.3	1.28198133926426	35.93	1399	0.300375	1.136111111	14.2	0.217	V	2.1	0.3
Quercus douglasii	20.23	1.45570320904565	36.06	1400	0.300375	1.136111111	16	0.345	V	2.1	0.3
Quercus douglasii	20.32	1.48192509122164	50.01	1399	0.300375	1.136111111	19.6	0.362	V	2.1	0.3
Quercus douglasii	20.49	1.51007567425206	70.08	1401	0.300375	1.136111111	22.9	0.376	V	2.1	0.3
Quercus douglasii	20.55	1.52800754279154	99.88	1401	0.300375	1.136111111	26.7	0.384	V	2.1	0.3
Quercus douglasii	21.58	1.49691501498292	15.02	1399	0.300375	1.136111111	5.74	0.284	V	2.1	0.3
Quercus douglasii	21.57	1.53533966459109	20.06	1400	0.300375	1.136111111	8.84	0.322	V	2.1	0.3
Quercus douglasii	21.46	1.32806626309348	35.89	1400	0.300375	1.136111111	13.9	0.175	V	2.1	0.3
Quercus douglasii	21.59	1.56849120721379	36.09	1399	0.300375	1.136111111	16.9	0.349	V	2.1	0.3
Quercus douglasii	21.86	1.62136800464128	49.84	1399	0.300375	1.136111111	21.4	0.38	V	2.1	0.3
Quercus douglasii	21.99	1.64223358303192	70.12	1400	0.300375	1.136111111	25.4	0.39	V	2.1	0.3
Quercus douglasii	22.32	1.66585287856526	99.89	1401	0.300375	1.136111111	28.7	0.387	V	2.1	0.3
Quercus douglasii	23.02	1.67274584414149	15.09	1401	0.300375	1.136111111	5.29	0.303	V	2.1	0.3
Quercus douglasii	22.98	1.71594900530558	20.13	1399	0.300375	1.136111111	8.31	0.341	V	2.1	0.3
Quercus douglasii	23.23	1.5086655679139	36.13	1401	0.300375	1.136111111	12.9	0.199	V	2.1	0.3
Quercus douglasii	23.19	1.76179301121416	36.09	1399	0.300375	1.136111111	15.8	0.369	V	2.1	0.3
Quercus douglasii	23.3	1.78072745512547	50.07	1398	0.300375	1.136111111	19.7	0.379	V	2.1	0.3
Quercus douglasii	23.2	1.77350979215806	70.05	1399	0.300375	1.136111111	22.8	0.38	V	2.1	0.3
Quercus douglasii	23.34	1.77763995677144	99.8	1399	0.300375	1.136111111	25.9	0.369	V	2.1	0.3
Quercus douglasii	25.28	1.85089112291682	15.1	1401	0.300375	1.136111111	5.23	0.271	V	2.1	0.3
Quercus douglasii	25.72	1.92609321121466	20.11	1400	0.300375	1.136111111	8.3	0.3	V	2.1	0.3
Quercus douglasii	24.58	1.6992860243731	36.07	1402	0.300375	1.136111111	13.8	0.215	V	2.1	0.3
Quercus douglasii	26.03	1.97729539240867	36.15	1400	0.300375	1.136111111	16.4	0.32	V	2.1	0.3
Quercus douglasii	26.25	2.00132599925235	50.14	1399	0.300375	1.136111111	21.4	0.325	V	2.1	0.3
Quercus douglasii	26.32	2.01544054406996	69.95	1400	0.300375	1.136111111	26.2	0.326	V	2.1	0.3
Quercus douglasii	25.1	1.92659141722263	99.88	1399	0.300375	1.136111111	29.7	0.324	V	2.1	0.3
Quercus douglasii	25.16	1.75798909255531	15.05	1401	0.312	1.548	6.82	0.369	V	2.1	0.3
Quercus douglasii	25.24	1.79324127616103	20.05	1400	0.312	1.548	10.4	0.396	V	2.1	0.3
Quercus douglasii	25.13	1.56228581960632	35.85	1401	0.312	1.548	16.6	0.233	V	2.1	0.3
Quercus douglasii	25.24	1.81324127616103	36.11	1400	0.312	1.548	20.1	0.412	V	2.1	0.3
Quercus douglasii	25.27	1.8289771741653	49.97	1399	0.312	1.548	26	0.421	V	2.1	0.3
Quercus douglasii	25.28	1.83089112291682	70.04	1400	0.312	1.548	30	0.425	V	2.1	0.3
Quercus douglasii	25.38	1.8400852472448	99.91	1401	0.312	1.548	32.8	0.421	V	2.1	0.3
Quercus douglasii	25.2	1.84560727525875	15.08	1399	0.312	1.548	7.94	0.44	V	2.1	0.3
Quercus douglasii	25.34	1.88239566461465	20.1	1400	0.312	1.548	12.1	0.466	V	2.1	0.3
Quercus douglasii	25.14	1.61418592439655	35.69	1400	0.312	1.548	18.5	0.267	V	2.1	0.3
Quercus douglasii	25.45	1.92358039630154	36.07	1400	0.312	1.548	23.9	0.484	V	2.1	0.3
Quercus douglasii	25.57	1.93682896107726	49.98	1399	0.312	1.548	31.8	0.491	V	2.1	0.3
Quercus douglasii	25.68	1.94826722388018	70.08	1400	0.312	1.548	37.1	0.486	V	2.1	0.3
Quercus douglasii	25.88	1.95755924938284	99.95	1399	0.312	1.548	41.2	0.483	V	2.1	0.3
Quercus douglasii	27.53	1.98759182435511	15.11	1399	0.312	1.548	5.98	0.334	V	2.1	0.3
Quercus douglasii	27.55	2.03189184176856	20.07	1400	0.312	1.548	9.57	0.363	V	2.1	0.3
Quercus douglasii	27.81	1.44819176537452	35.95	1399	0.312	1.548	9.91	0.107	V	2.1	0.3
Quercus douglasii	27.46	2.04257618040705	36	1400	0.312	1.548	19	0.378	V	2.1	0.3
Quercus douglasii	27.64	2.06129614293818	50.04	1400	0.312	1.548	25.4	0.378	V	2.1	0.3
Quercus douglasii	27.71	2.04644987768905	70.04	1400	0.312	1.548	30	0.368	V	2.1	0.3
Quercus douglasii	27.68	2.01994881839315	99.89	1400	0.312	1.548	32.6	0.35	V	2.1	0.3
Quercus douglasii	27.61	1.96481817261296	15.12	1400	0.312	1.548	5.78	0.369	V	2.1	0.3
Quercus douglasii	27.52	1.99544345595524	20.14	1400	0.312	1.548	9.25	0.399	V	2.1	0.3
Quercus douglasii	27.45	1.70043545259896	36.11	1401	0.312	1.548	15.1	0.235	V	2.1	0.3
Quercus douglasii	27.53	2.0175918243551	36.15	1400	0.312	1.548	18.2	0.414	V	2.1	0.3
Quercus douglasii	27.66	2.02562028171674	50	1399	0.312	1.548	24.1	0.417	V	2.1	0.3
Quercus douglasii	27.62	2.01697639830134	70	1400	0.312	1.548	28.5	0.413	V	2.1	0.3
Quercus douglasii	27.54	1.98974128613698	99.85	1400	0.312	1.548	31.6	0.404	V	2.1	0.3
Quercus douglasii	28.07	2.41523971431243	14.87	1399	0.32	1.822222222	8.22	0.455	V	2.1	0.3
Quercus douglasii	28.04	2.3386188162966	19.78	1399	0.32	1.822222222	11.6	0.387	V	2.1	0.3
Quercus douglasii	28.04	2.2086188162966	35.72	1400	0.32	1.822222222	21.5	0.296	V	2.1	0.3
Quercus douglasii	27.97	2.18320914236497	36.06	1400	0.32	1.822222222	24.2	0.375	V	2.1	0.3
Quercus douglasii	28.08	2.07744891741235	50.03	1400	0.32	1.822222222	27.1	0.232	V	2.1	0.3
Quercus douglasii	28.04	1.9986188162966	70.1	1399	0.32	1.822222222	35.9	0.203	V	2.1	0.3
Quercus douglasii	28.15	2.05294470735163	100.05	1401	0.32	1.822222222	46.7	0.246	V	2.1	0.3
Quercus douglasii	28.18	2.16960259083205	99.91	1401	0.32	1.822222222	45.4	0.346	V	2.1	0.3
Quercus douglasii	29.67	2.62327364299279	14.82	1401	0.32	1.822222222	7.02	0.416	V	2.1	0.3
Quercus douglasii	29.75	2.54246293406997	19.75	1398	0.32	1.822222222	10.3	0.357	V	2.1	0.3
Quercus douglasii	30.06	2.40754987415557	35.8	1401	0.32	1.822222222	18.7	0.267	V	2.1	0.3
Quercus douglasii	29.88	2.21380960421423	49.75	1400	0.32	1.822222222	22.6	0.189	V	2.1	0.3
Quercus douglasii	29.58	2.03177725818551	69.59	1401	0.32	1.822222222	26	0.133	V	2.1	0.3
Quercus douglasii	29.18	1.91740148009105	99.89	1399	0.32	1.822222222	30.7	0.106	V	2.1	0.3
Quercus douglasii	30.28	2.63154591641394	14.88	1400	0.32	1.822222222	6.54	0.442	V	2.1	0.3
Quercus douglasii	30.44	2.57118879087127	19.69	1401	0.32	1.822222222	9.62	0.381	V	2.1	0.3
Quercus douglasii	30.39	2.4187664934372	35.68	1399	0.32	1.822222222	18.2	0.294	V	2.1	0.3
Quercus douglasii	30.89	2.29438805894899	49.8	1401	0.32	1.822222222	22.5	0.215	V	2.1	0.3
Quercus douglasii	31.21	2.16643444309373	69.67	1400	0.32	1.822222222	27.1	0.161	V	2.1	0.3
Quercus douglasii	31.09	2.11551480006873	101.06	1400	0.32	1.822222222	33.5	0.146	V	2.1	0.3
Quercus douglasii	28.51	2.39350987904695	15.01	1401	0.509166667	2.226111111	8.44	0.543	V	2.1	0.3
Quercus douglasii	28.63	2.29069213891673	19.83	1399	0.509166667	2.226111111	12.3	0.453	V	2.1	0.3
Quercus douglasii	28.52	2.15576878598872	35.85	1400	0.509166667	2.226111111	22.9	0.359	V	2.1	0.3
Quercus douglasii	28.61	1.99615032705345	49.86	1400	0.509166667	2.226111111	28	0.266	V	2.1	0.3
Quercus douglasii	28.36	1.8397628013774	69.76	1400	0.509166667	2.226111111	33.7	0.212	V	2.1	0.3
Quercus douglasii	27.62	1.74697639830134	100.29	1400	0.509166667	2.226111111	40.6	0.192	V	2.1	0.3
Quercus douglasii	28.61	2.16615032705345	14.86	1400	0.509166667	2.226111111	7.47	0.459	V	2.1	0.3
Quercus douglasii	28.4	2.06873703467819	19.87	1400	0.509166667	2.226111111	10.8	0.387	V	2.1	0.3
Quercus douglasii	28.52	1.90576878598872	35.81	1401	0.509166667	2.226111111	19.6	0.29	V	2.1	0.3
Quercus douglasii	28.41	1.77098342846674	49.91	1400	0.509166667	2.226111111	24	0.205	V	2.1	0.3
Quercus douglasii	28.72	1.65118706468925	69.77	1399	0.509166667	2.226111111	28	0.144	V	2.1	0.3
Quercus douglasii	28.77	1.56261336738765	100.32	1401	0.509166667	2.226111111	32.7	0.11	V	2.1	0.3
Quercus douglasii	28.87	2.2255524782534	14.96	1400	0.509166667	2.226111111	7.62	0.432	V	2.1	0.3
Quercus douglasii	28.98	2.13091920766075	19.78	1399	0.509166667	2.226111111	11	0.373	V	2.1	0.3
Quercus douglasii	29.24	1.97143745417996	35.79	1400	0.509166667	2.226111111	19.8	0.281	V	2.1	0.3
Quercus douglasii	30	1.87292612408126	49.88	1400	0.509166667	2.226111111	24.6	0.209	V	2.1	0.3
Quercus douglasii	30.34	1.75637503911872	69.79	1401	0.509166667	2.226111111	29.3	0.156	V	2.1	0.3
Quercus douglasii	30.64	1.68118770014804	100.34	1399	0.509166667	2.226111111	35.1	0.12	V	2.1	0.3
Quercus douglasii	28.07	2.27523971431243	14.87	1401	0.698333333	2.63	7.56	0.477	V	2.1	0.3
Quercus douglasii	28.11	2.20408324466403	19.68	1399	0.698333333	2.63	10.6	0.403	V	2.1	0.3
Quercus douglasii	27.87	2.0512899816174	35.84	1401	0.698333333	2.63	18.9	0.305	V	2.1	0.3
Quercus douglasii	28.13	1.89851173255814	49.67	1400	0.698333333	2.63	22.6	0.215	V	2.1	0.3
Quercus douglasii	28.02	1.78421047226345	69.65	1400	0.698333333	2.63	27	0.162	V	2.1	0.3
Quercus douglasii	28.04	1.7786188162966	100.07	1401	0.698333333	2.63	33.9	0.154	V	2.1	0.3
Quercus douglasii	30.95	2.40967298533536	14.83	1399	0.698333333	2.63	5.96	0.378	V	2.1	0.3
Quercus douglasii	30.7	2.29628442202844	19.77	1400	0.698333333	2.63	8.73	0.32	V	2.1	0.3
Quercus douglasii	31.21	2.13643444309373	35.81	1399	0.698333333	2.63	16.1	0.234	V	2.1	0.3
Quercus douglasii	30.97	1.97477805753657	49.63	1400	0.698333333	2.63	20	0.186	V	2.1	0.3
Quercus douglasii	30.81	1.94407867806296	69.79	1400	0.698333333	2.63	26.7	0.177	V	2.1	0.3
Quercus douglasii	30.59	2.04864138579546	101.08	1400	0.698333333	2.63	35.7	0.215	V	2.1	0.3
Quercus douglasii	33.47	2.28411593187257	14.83	1400	0.698333333	2.63	3.2	0.235	V	2.1	0.3
Quercus douglasii	30.1	1.88732337097479	19.71	1400	0.698333333	2.63	4.88	0.19	V	2.1	0.3
Quercus douglasii	30.1	1.57732337097479	35.79	1400	0.698333333	2.63	7.62	0.104	V	2.1	0.3
Quercus douglasii	30.28	1.47154591641394	49.77	1400	0.698333333	2.63	9.21	0.0791	V	2.1	0.3
Quercus douglasii	30.27	1.37907869722403	69.56	1401	0.698333333	2.63	10.1	0.0584	V	2.1	0.3
Quercus douglasii	30.33	1.33390044377437	99.99	1399	0.698333333	2.63	12.1	0.0476	V	2.1	0.3
Quercus douglasii	29.15	1.96039933139887	14.89	1399	1.410714286	3.197857143	6.01	0.294	V	2.1	0.3
Quercus douglasii	28.92	1.82706540849577	19.84	1401	1.410714286	3.197857143	8.24	0.229	V	2.1	0.3
Quercus douglasii	29.2	1.65207544197966	35.88	1401	1.410714286	3.197857143	14.5	0.154	V	2.1	0.3
Quercus douglasii	28.99	1.50323224135665	49.83	1400	1.410714286	3.197857143	16.5	0.106	V	2.1	0.3
Quercus douglasii	29.16	1.43273220906957	69.71	1400	1.410714286	3.197857143	18.8	0.0759	V	2.1	0.3
Quercus douglasii	28.95	1.42398708180523	100.43	1401	1.410714286	3.197857143	23.5	0.064	V	2.1	0.3
Quercus douglasii	30.06	1.80754987415557	14.85	1400	1.410714286	3.197857143	3.63	0.263	V	2.1	0.3
Quercus douglasii	29.93	1.69592030229904	19.73	1398	1.410714286	3.197857143	5.55	0.219	V	2.1	0.3
Quercus douglasii	30.06	1.50754987415557	35.8	1400	1.410714286	3.197857143	10.3	0.151	V	2.1	0.3
Quercus douglasii	29.52	1.32750002525505	49.86	1399	1.410714286	3.197857143	12.1	0.104	V	2.1	0.3
Quercus douglasii	29.16	1.22273220906957	69.75	1399	1.410714286	3.197857143	14.6	0.0757	V	2.1	0.3
Quercus douglasii	29.07	1.22177843304877	100.7	1399	1.410714286	3.197857143	19.6	0.0708	V	2.1	0.3
Quercus douglasii	33.79	1.96720684959838	14.88	1399	1.410714286	3.197857143	3.08	0.18	V	2.1	0.3
Quercus douglasii	33.43	1.79258077180645	19.83	1400	1.410714286	3.197857143	4.63	0.145	V	2.1	0.3
Quercus douglasii	34.12	1.58472850070838	35.86	1400	1.410714286	3.197857143	8.84	0.0976	V	2.1	0.3
Quercus douglasii	33.98	1.43316568183645	49.85	1399	1.410714286	3.197857143	10.6	0.0728	V	2.1	0.3
Quercus douglasii	34.04	1.30094391783345	69.69	1399	1.410714286	3.197857143	12.1	0.0532	V	2.1	0.3
Quercus douglasii	33.67	1.21212853368348	100.73	1399	1.410714286	3.197857143	14.6	0.042	V	2.1	0.3
Quercus douglasii	26.69	1.99089454799775	14.87	1399	2.2825	3.333333333	4.61	0.311	V	2.1	0.3
Quercus douglasii	26.5	1.83196899657259	19.89	1400	2.2825	3.333333333	6.6	0.242	V	2.1	0.3
Quercus douglasii	26.21	1.62328332070277	35.84	1399	2.2825	3.333333333	11.6	0.168	V	2.1	0.3
Quercus douglasii	25.8	1.44179375616339	49.85	1399	2.2825	3.333333333	14	0.122	V	2.1	0.3
Quercus douglasii	25.97	1.29537334418131	69.75	1401	2.2825	3.333333333	16.2	0.0898	V	2.1	0.3
Quercus douglasii	25.55	1.19294417350342	100.34	1401	2.2825	3.333333333	19.5	0.0904	V	2.1	0.3
Quercus douglasii	28.52	2.20576878598872	14.89	1401	2.2825	3.333333333	3.51	0.227	V	2.1	0.3
Quercus douglasii	28.47	2.14448564617804	19.86	1402	2.2825	3.333333333	5.3	0.203	V	2.1	0.3
Quercus douglasii	28.58	1.98934619415008	35.82	1401	2.2825	3.333333333	9.67	0.15	V	2.1	0.3
Quercus douglasii	28.66	1.83751345130428	49.9	1399	2.2825	3.333333333	12.4	0.109	V	2.1	0.3
Quercus douglasii	28.33	1.72304402187717	69.72	1399	2.2825	3.333333333	15.1	0.0826	V	2.1	0.3
Quercus douglasii	28.15	1.67294470735163	100.59	1402	2.2825	3.333333333	17.2	0.0714	V	2.1	0.3
Quercus douglasii	28.62	2.33842066033573	14.86	1400	2.2825	3.333333333	3.79	0.265	V	2.1	0.3
Quercus douglasii	28.56	2.22481582315463	19.81	1399	2.2825	3.333333333	5.67	0.21	V	2.1	0.3
Quercus douglasii	28.52	2.05576878598872	35.76	1400	2.2825	3.333333333	9.91	0.143	V	2.1	0.3
Quercus douglasii	28.44	1.92772942264906	49.78	1402	2.2825	3.333333333	11.6	0.0976	V	2.1	0.3
Quercus douglasii	28.6	1.81388113858493	69.81	1398	2.2825	3.333333333	12.8	0.0621	V	2.1	0.3
Quercus douglasii	28.59	1.79161309444536	100.75	1398	2.2825	3.333333333	14.9	0.0542	V	2.1	0.3
Quercus douglasii	25.99	1.81934326619604	14.87	1402	3.018571429	3.51952381	5.02	0.227	V	2.1	0.3
Quercus douglasii	25.65	1.67240833505352	19.76	1400	3.018571429	3.51952381	6.77	0.189	V	2.1	0.3
Quercus douglasii	25.41	1.50586289525504	35.74	1401	3.018571429	3.51952381	11.9	0.143	V	2.1	0.3
Quercus douglasii	25.36	1.33623846479909	49.76	1398	3.018571429	3.51952381	13.8	0.102	V	2.1	0.3
