Species	Tleaf	VPA	CO2	PAR	Psoil	Pleaf	A	Gs	Vcmax	WeibullB	WeibullC
Phillyrea angustifolia	27.7	2.2542817567261	40.57	247	0.88	2.28	4.22	0.165	12.9	9.9	6
Phillyrea angustifolia	30.1	2.25732337097479	40.03	443	0.88	2.28	6.75	0.1186	12.9	9.9	6
Phillyrea angustifolia	32.5	2.46061878686867	40.55	695	0.88	2.28	9.41	0.1743	12.9	9.9	6
Phillyrea angustifolia	34.3	2.53858066532239	38.38	1035	0.88	2.28	12.31	0.1883	12.9	9.9	6
Phillyrea angustifolia	35	2.95249712974568	37.09	969	0.88	2.28	12.89	0.26	12.9	9.9	6
Phillyrea angustifolia	35.2	1.95494763942328	33.34	1128	0.88	2.28	5.7	0.0871	12.9	9.9	6
Phillyrea angustifolia	33.9	2.48954139811206	32.33	1023	0.88	2.28	8.8	0.1983	12.9	9.9	6
Phillyrea angustifolia	33.4	2.07394408310797	32.18	495	0.88	2.28	2.54	0.0738	12.9	9.9	6
Phillyrea angustifolia	33	2.37998308873732	32.33	436	0.88	2.28	4.04	0.1243	12.9	9.9	6
Phillyrea angustifolia	25	1.10767399197582	36.57	195.3	0.73	2.38	5.13	0.0689	12.9	9.9	6
Phillyrea angustifolia	30.9	1.28693239450233	35.87	596.2	0.73	2.38	7.74	0.082	12.9	9.9	6
Phillyrea angustifolia	34.7	0.969936888078311	35.14	1062.3	0.73	2.38	7.3	0.078	12.9	9.9	6
Phillyrea angustifolia	35.1	1.27364761905587	35.44	1201.1	0.73	2.38	7.76	0.1086	12.9	9.9	6
Phillyrea angustifolia	35.3	1.80639778964999	35.27	831.4	0.73	2.38	7.43	0.0944	12.9	9.9	6
Phillyrea angustifolia	34.5	1.75896682126179	35.11	837.2	0.73	2.38	6.82	0.089	12.9	9.9	6
Phillyrea angustifolia	34.3	1.77858066532239	35.15	675.3	0.73	2.38	4.99	0.065	12.9	9.9	6
Phillyrea angustifolia	31.8	1.82114700243299	35.34	330.1	0.73	2.38	3.16	0.06	12.9	9.9	6

