Species	Tleaf	VPA	CO2	PAR	Psoil	Pleaf	A	Gs	Vcmax	WeibullB	WeibullC
Pinus edulis	16.23	0.395111062251919	38.2	2000	0.8	1.6	0.166	0.01	35	4	6
Pinus edulis	16.78	0.600815656100609	36	2000	1.05	2.1	2.779	0.025	35	4	6
Pinus edulis	15.5	0.550965235287804	36.2	2000	1.2	2.3	4.188	0.034	35	4	6
Pinus edulis	19.37	0.458557522537169	38.1	2000	0.8	1.6	0.198	0.01	35	4	6
Pinus edulis	20.59	0.684978185298356	36.2	2000	1.05	2.1	2.568	0.023	35	4	6
Pinus edulis	18.6	0.633082739193765	36.6	2000	1.2	2.3	3.4	0.034	35	4	6
Pinus edulis	25.89	0.699534513960686	37	2000	1.05	2.1	1.846	0.016	35	4	6
Pinus edulis	24.23	0.595260570743054	37.4	2000	1.2	2.3	2.314	0.02	35	4	6
Pinus edulis	28.41	0.58098342846674	37.9	2000	1.05	2.1	1.002	0.01	35	4	6
Pinus edulis	27.45	0.560435452598963	37.6	2000	1.2	2.3	2.431	0.021	35	4	6
Pinus edulis	30.87	0.549303166271715	38.4	2000	1.05	2.1	0.546	0.006	35	4	6
Pinus edulis	29.62	0.461319259114628	38.6	2000	1.2	2.3	0.51	0.01	35	4	6
Pinus edulis	30.63	0.548675946081708	38.3	2000	1.05	2.1	0.706	0.009	35	4	6
Pinus edulis	30.67	0.498730444228826	38.7	2000	1.2	2.3	0.707	0.011	35	4	6
Pinus edulis	29.35	0.397280077148569	38.4	2000	1.05	2.1	0.541	0.004	35	4	6
Pinus edulis	27.9	0.477854059888064	38.4	2000	1.2	2.3	0.969	0.011	35	4	6
Pinus edulis	23.37	0.762833895720631	37.1	2000	1.5	2.5	2.51	0.0212	35	4	6
Pinus edulis	25	0.747673991975823	38.4	2000	1.8	2.1	0.984	0.0171	35	4	6
Pinus edulis	25.07	0.680905873779806	37.7	2000	1.3	2.1	2.174	0.0177	35	4	6
Pinus edulis	26.44	0.769755317826386	37.5	2000	1.5	2.5	2.113	0.018	35	4	6
Pinus edulis	27.01	0.697315585635466	38.8	2000	1.8	2.1	0.492	0.0125	35	4	6
Pinus edulis	27.3	0.658455032180964	38.3	2000	1.3	2.1	1.435	0.0143	35	4	6
Pinus edulis	31.58	0.742931130610943	38.4	2000	1.5	2.5	0.941	0.0103	35	4	6
Pinus edulis	31.97	0.796565278593894	38.9	2000	1.5	2.5	0.163	0.0052	35	4	6
Pinus edulis	31.25	0.846781792682211	38.7	2000	1.5	2.5	0.319	0.0062	35	4	6
Pinus edulis	20.56	1.40049899737598	37.5	2000	1.9	2.3	2.405	0.0225	35	4	6
Pinus edulis	21.39	1.54712687954865	37.4	2000	2.05	2.22	1.769	0.0156	35	4	6
Pinus edulis	21.97	1.42901408235386	37.9	2000	1.8	2.55	3.543	0.0416	35	4	6
Pinus edulis	23.74	1.56757082634609	37.1	2000	1.9	2.3	3.13	0.0233	35	4	6
Pinus edulis	24.53	1.54006779094711	38.1	2000	2.05	2.22	1.113	0.0128	35	4	6
Pinus edulis	25.18	1.5717962083591	38	2000	1.8	2.55	2.609	0.0392	35	4	6
Pinus edulis	23.74	0.877570826346093	38	2000	1.9	2.3	1.564	0.0159	35	4	6
Pinus edulis	27.17	1.40093577024884	37.6	2000	2.05	2.22	1.091	0.0109	35	4	6
Pinus edulis	29.44	1.23853031444227	38.4	2000	1.8	2.55	1.194	0.0188	35	4	6
Pinus edulis	30.19	1.1593850930349	38.4	2000	1.9	2.3	0.868	0.0086	35	4	6
Pinus edulis	32.11	1.01425426139578	38.8	2000	1.8	2.55	0.267	0.0076	35	4	6
Pinus edulis	31.68	0.869314779896881	38.4	2000	1.9	2.3	0.115	0.0041	35	4	6
Pinus edulis	31.41	1.06837610302056	38.1	2000	2.05	2.22	0.55	0.0058	35	4	6
Pinus edulis	33.31	0.908109357872142	39	2000	1.8	2.55	0.24	0.0059	35	4	6
Pinus edulis	32.51	0.883372864353659	40.1	2000	1.9	2.3	0.159	0.0029	35	4	6
Pinus edulis	33.52	0.878566393088352	39	2000	1.8	2.55	0.106	0.0075	35	4	6
Pinus edulis	32.72	0.861520406486791	39	2000	1.9	2.3	0.097	0.0046	35	4	6
Pinus edulis	31.86	0.92713368402939	39.2	2000	2.05	2.22	0.075	0.0047	35	4	6
Pinus edulis	33.54	0.86435639562602	39.2	2000	1.8	2.55	0.143	0.0077	35	4	6
Pinus edulis	24.13	2.03718154569202	36.1	2000	0.8	2.25	2.8	0.0675	35	4	6
Pinus edulis	25.58	2.21877286172052	34.9	2000	0.87	2.15	3.796	0.0766	35	4	6
Pinus edulis	25.78	2.02786253984111	36.1	2000	0.98	2.1	2.851	0.0539	35	4	6
Pinus edulis	28.13	2.52851173255814	34.9	2000	0.8	2.25	3.455	0.0877	35	4	6
Pinus edulis	28.47	2.38448564617804	35.2	2000	0.87	2.15	3.27	0.0624	35	4	6
Pinus edulis	27.46	2.10257618040705	36.1	2000	0.98	2.1	2.589	0.0456	35	4	6
Pinus edulis	32.19	2.51590730181191	35.9	2000	0.8	2.25	2.436	0.0474	35	4	6
Pinus edulis	33.43	2.50258077180645	36.4	2000	0.87	2.15	1.792	0.0422	35	4	6
Pinus edulis	34.53	2.20807499222851	37.3	2000	0.98	2.1	1.321	0.0273	35	4	6
Pinus edulis	37.57	2.65205338431913	36.4	2000	0.8	2.25	1.804	0.0383	35	4	6
Pinus edulis	36.8	2.15657856100505	37.8	2000	0.87	2.15	0.3	0.0199	35	4	6
Pinus edulis	34.18	1.94262730115894	37.2	2000	0.98	2.1	1.287	0.0217	35	4	6
Pinus edulis	33.3	2.07524579658784	37.2	2000	0.8	2.25	1.177	0.0265	35	4	6
Pinus edulis	32.16	1.90777745865372	37.4	2000	0.87	2.15	0.996	0.0202	35	4	6
