Species	Tleaf	VPA	CO2	PAR	Psoil	Pleaf	A	Gs	Vcmax	WeibullB	WeibullC
Populus balsamifora	19	0.807321372565163	39	1000	0.17753718	0.3	12.7	0.548	50.9	2	2.5
Populus balsamifora	19	1.05732137256516	39	1000	0.13413234	0.3	18	0.567	50.9	2	2.5
Populus balsamifora	19	1.06732137256516	39	1000	0.04937313	0.2	11.8	0.512	50.9	2	2.5
Populus balsamifora	19	1.07732137256516	39	1000	0.15252955	0.35	14.2	0.661	50.9	2	2.5
Populus balsamifora	19	1.40632137256516	39	1000	0.13978255	0.35	17.3	0.539	50.9	2	2.5
Populus balsamifora	19	1.42732137256516	39	1001	0.21396756	0.45	16.3	0.592	50.9	2	2.5
Populus balsamifora	19	1.50832137256516	39	1000	0.0925927	0.38	17.6	0.687	50.9	2	2.5
Populus balsamifora	19	1.07732137256516	39	999	0.2386252	0.45	14.3	0.702	50.9	2	2.5
Populus balsamifora	19	0.927321372565163	39	999	0.31087472	0.45	11.2	0.535	50.9	2	2.5
Populus balsamifora	19	1.38632137256516	39	999	0.10759464	0.35	19.3	0.631	50.9	2	2.5
Populus balsamifora	19	0.897321372565163	39	1001	0.36523686	0.5	10.1	0.532	50.9	2	2.5
Populus balsamifora	19	1.40332137256516	39	999	0.21218024	0.47	18.9	0.657	50.9	2	2.5
Populus balsamifora	19	1.31932137256516	39	1001	0.20503838	0.45	17.2	0.665	50.9	2	2.5
Populus balsamifora	19	0.867321372565163	39	999	0.22810644	0.3	11.1	0.299	50.9	2	2.5
Populus balsamifora	19	1.02732137256516	39	999	0.17933978	0.32	15.4	0.494	50.9	2	2.5
Populus balsamifora	19	0.937321372565163	39	1000	0.34230101	0.45	14.4	0.409	50.9	2	2.5
Populus balsamifora	19	1.13732137256516	39	1001	0.29823876	0.47	16.3	0.538	50.9	2	2.5
Populus balsamifora	19	0.867321372565163	39	1001	0.35613065	0.45	11.5	0.385	50.9	2	2.5
Populus balsamifora	19	1.00732137256516	39	999	0.28270555	0.45	16.2	0.593	50.9	2	2.5
Populus balsamifora	19	0.627321372565163	39	1001	0.59958773	0.67	13.6	0.383	50.9	2	2.5
Populus balsamifora	19	1.01732137256516	39	1000	0.28472899	0.45	14.3	0.58	50.9	2	2.5
Populus balsamifora	19	0.987321372565163	39	999	0.28682952	0.45	14.3	0.59	50.9	2	2.5
Populus balsamifora	19	1.01732137256516	39	999	0.31344901	0.49	16.5	0.617	50.9	2	2.5
Populus balsamifora	19	0.837321372565163	39	1001	0.86186113	0.9	9.55	0.144	50.9	2	2.5
Populus balsamifora	19	0.897321372565163	39	1001	0.90960092	1	13.3	0.309	50.9	2	2.5
Populus balsamifora	19	0.907321372565163	39	1001	0.92398066	1.05	13.7	0.42	50.9	2	2.5
Populus balsamifora	19	1.48532137256516	39	999	0.41332544	0.7	18.3	0.668	50.9	2	2.5
Populus balsamifora	19	1.28732137256516	39	999.5	0.2799569	0.52	18.2	0.6625	50.9	2	2.5
Populus balsamifora	19	1.47232137256516	39	1000	0.34909977	0.625	18.1	0.657	50.9	2	2.5

