Species	Tleaf	VPA	CO2	PAR	Psoil	Pleaf	A	Gs	Vcmax	WeibullB	WeibullC
Bursera simaruba	36.9	2.94622531124211	39	780	0.44375	0.7375	NA	0.00099	17.4	1.4	3.2
Bursera simaruba	30.7	2.95037277702844	39	236	0.44375	0.7375	NA	0.002	17.4	1.4	3.2
Bursera simaruba	30.7	2.95037277702844	39	178	0.44375	0.7375	NA	0.00203	17.4	1.4	3.2
Bursera simaruba	30.7	2.95037277702844	39	198	0.44375	0.7375	NA	0.00226	17.4	1.4	3.2
Bursera simaruba	36.5	3.1511848548794	39	270	0.44375	0.7375	NA	0.00253	17.4	1.4	3.2
Bursera simaruba	30.5	3.21370763230302	39	165	0.78125	0.89375	NA	0.003	17.4	1.4	3.2
Bursera simaruba	36.6	3.16845277851613	39	300	0.44375	0.7375	NA	0.00346	17.4	1.4	3.2
Bursera simaruba	36.2	2.69152720645878	39	133	0.44375	0.7375	NA	0.00378	17.4	1.4	3.2
Bursera simaruba	35.6	2.99940687955088	39	910	0.44375	0.7375	NA	0.00379	17.4	1.4	3.2
Bursera simaruba	36	2.80472268994098	39	179	0.44375	0.7375	NA	0.00379	17.4	1.4	3.2
Bursera simaruba	30.7	3.25061974102844	39	123	0.78125	0.89375	NA	0.00391	17.4	1.4	3.2
Bursera simaruba	36.6	2.89838599251613	39	192	0.44375	0.7375	NA	0.00397	17.4	1.4	3.2
Bursera simaruba	36.8	3.20323470200505	39	620	0.44375	0.7375	NA	0.00425	17.4	1.4	3.2
Bursera simaruba	35.8	2.63309778572713	39	177	0.44375	0.7375	NA	0.00445	17.4	1.4	3.2
Bursera simaruba	32	2.49188166317025	39	87	0.81	1.025	NA	0.00455	17.4	1.4	3.2
Bursera simaruba	35.2	2.68392562042328	39	81	0.44375	0.7375	NA	0.00483	17.4	1.4	3.2
Bursera simaruba	35.7	3.01595195465496	39	204	0.44375	0.7375	NA	0.0049	17.4	1.4	3.2
Bursera simaruba	35.8	3.03257607872713	39	131	0.44375	0.7375	NA	0.00496	17.4	1.4	3.2
Bursera simaruba	30.7	2.95037277702844	39	190	0.44375	0.7375	NA	0.00497	17.4	1.4	3.2
Bursera simaruba	35.9	3.04927956483589	39	230	0.44375	0.7375	NA	0.00503	17.4	1.4	3.2
Bursera simaruba	30.6	2.93357978050636	39	242	0.44375	0.7375	NA	0.00507	17.4	1.4	3.2
