Species	Tleaf	VPA	CO2	PAR	Psoil	Pleaf	A	Gs	Vcmax	WeibullB	WeibullC
Pistacia lentiscus	32	2.32461970617025	35.73	78	1.12	NA	0.37	0.036	37	3.5	1.6
Pistacia lentiscus	31.5	2.26191755826771	38.74	207	1.12	NA	4.02	0.048	37	3.5	1.6
Pistacia lentiscus	25.2	1.21560727525875	36.17	87	1.23	NA	1.41	0.051	37	3.5	1.6
Pistacia lentiscus	33.6	2.01176012431783	32.31	325	1.05	NA	2.7	0.053	37	3.5	1.6
Pistacia lentiscus	32.9	1.89183769586321	35.09	521	1.23	NA	4.54	0.073	37	3.5	1.6
Pistacia lentiscus	35.2	2.09494763942328	33.58	496	1.12	NA	3.45	0.075	37	3.5	1.6
Pistacia lentiscus	27.9	1.97785405988806	44.7	49	1.12	NA	3.48	0.079	37	3.5	1.6
Pistacia lentiscus	33.8	2.26013924965624	32.21	449	1.05	NA	3.08	0.08	37	3.5	1.6
Pistacia lentiscus	34.7	2.45993688807831	36.64	499	1.12	NA	6.34	0.081	37	3.5	1.6
Pistacia lentiscus	30.4	1.8512484834174	35.33	180	1.23	NA	1.35	0.081	37	3.5	1.6
Pistacia lentiscus	33.7	1.36087901607572	35.26	882	1.23	NA	6.08	0.084	37	3.5	1.6
Pistacia lentiscus	33.6	1.86176012431783	35.14	669	1.23	NA	4.49	0.085	37	3.5	1.6
Pistacia lentiscus	33.4	2.48394408310797	37.34	474	1.12	NA	5.99	0.088	37	3.5	1.6
Pistacia lentiscus	31.5	1.49191755826771	35.6	536	1.23	NA	6.37	0.089	37	3.5	1.6
Pistacia lentiscus	27.4	2.08974814892688	41.6	171	1.05	NA	3.88	0.09	37	3.5	1.6
Pistacia lentiscus	30	2.44292612408126	39.9	379	1.05	NA	9.01	0.104	37	3.5	1.6
Pistacia lentiscus	36.9	2.52051376224211	36.46	1038	1.05	NA	9.07	0.134	37	3.5	1.6
Pistacia lentiscus	35.6	2.80165503555088	34.91	634	1.12	NA	7.78	0.134	37	3.5	1.6
Pistacia lentiscus	33.7	2.08087901607572	35.57	721	1.23	NA	6.43	0.135	37	3.5	1.6
Pistacia lentiscus	35.3	2.64639778964999	37.94	956	1.05	NA	10.8	0.14	37	3.5	1.6
Pistacia lentiscus	33.7	2.67087901607572	33.83	820	1.05	NA	11.27	0.179	37	3.5	1.6
Pistacia lentiscus	34.2	2.55860509049531	35.51	765	1.23	NA	6.84	0.18	37	3.5	1.6
Pistacia lentiscus	32.4	2.79315195407127	39.28	400	1.05	NA	11.06	0.191	37	3.5	1.6

