Species	Tleaf	VPA	CO2	PAR	Psoil	Pleaf	A	Gs	Vcmax	WeibullB	WeibullC
Alphitonia excelsa	27.51	2.09644491846985	39	80	0.85	2.6	0.58	0	42.9	6.2	2
Alphitonia excelsa	34.52	4.50930419549034	39	1283	0.45	2.25	2.95	0.02	42.9	6.2	2
Alphitonia excelsa	35.64	4.58651878432217	39	1148	0.45	2.75	2.45	0.02	42.9	6.2	2
Alphitonia excelsa	32.53	3.85991162268209	39	845	0.6	2.3	1.45	0.02	42.9	6.2	2
Alphitonia excelsa	35.58	3.88163323121312	39	1518	0.45	2.3	1.38	0.03	42.9	6.2	2
Alphitonia excelsa	29.98	2.73469812849747	39	740	0.6	2.5	2.79	0.03	42.9	6.2	2
Alphitonia excelsa	30.71	1.96078730243322	39	396	0.85	2.25	1.5	0.03	42.9	6.2	2
Alphitonia excelsa	36	4.50078239694098	39	1346	0.6	2.7	4	0.04	42.9	6.2	2
Alphitonia excelsa	36.01	4.67822576143827	39	866	0.6	1.75	2.14	0.04	42.9	6.2	2
Alphitonia excelsa	34.59	2.64869284839826	39	1359	0.6	2.2	2.98	0.04	42.9	6.2	2
Alphitonia excelsa	38.01	5.33791759634806	39	1448	0.45	2.85	3.9	0.05	42.9	6.2	2
Alphitonia excelsa	28.99	2.74379641735665	39	649	0.45	2.55	3.61	0.05	42.9	6.2	2
Alphitonia excelsa	33.96	4.24770707539475	39	1377	0.85	1.55	1.81	0.05	42.9	6.2	2
Alphitonia excelsa	33.07	3.11519086509201	39	185	0.85	2	1.72	0.05	42.9	6.2	2
Alphitonia excelsa	34.71	4.03218437841764	39	1397	0.85	2.8	7.3	0.09	42.9	6.2	2
Alphitonia excelsa	38.09	3.80920930578607	39	1627	0.35	3.15	0.75	0	42.9	6.2	2
Alphitonia excelsa	31.57	3.139483478224	39	399	0.9	3.35	1.07	0	42.9	6.2	2
Alphitonia excelsa	38.79	4.97823423538339	39	1461	0.9	3.25	1.41	0	42.9	6.2	2
Alphitonia excelsa	32.68	3.36354739990489	39	959	0.9	3.1	0.77	0	42.9	6.2	2
Alphitonia excelsa	39.71	5.9963017990812	39	1669	0.35	3.4	2.81	0.01	42.9	6.2	2
Alphitonia excelsa	37.85	4.11298037983699	39	1551	0.9	3.2	1.08	0.01	42.9	6.2	2
Alphitonia excelsa	35.25	4.46271332080617	39	1515	1.05	3.2	3.24	0.02	42.9	6.2	2
Alphitonia excelsa	30.03	3.211259093185	39	516	0.35	2.85	1.13	0.02	42.9	6.2	2
Alphitonia excelsa	33.09	3.61541061406333	39	1023	0.35	3.25	2.23	0.02	42.9	6.2	2
Alphitonia excelsa	32.36	3.34883965922364	39	964	0.35	3.1	2.27	0.02	42.9	6.2	2
Alphitonia excelsa	29.2	2.99253147197966	39	164	0.9	3	1	0.02	42.9	6.2	2
Alphitonia excelsa	29.27	3.10273802728904	39	451	1.05	3.2	2.87	0.03	42.9	6.2	2
Alphitonia excelsa	39.05	5.71982132753267	39	1619	1.05	3.4	1.65	0.03	42.9	6.2	2
Alphitonia excelsa	37.08	4.3783734679267	39	1627	1.05	3.25	1.61	0.03	42.9	6.2	2
Alphitonia excelsa	31.67	3.4072347431305	39	913	1.05	3.1	1.82	0.03	42.9	6.2	2
Alphitonia excelsa	38.64	4.93362660073749	39	1526	0.6	4.4	0.27	0	42.9	6.2	2
Alphitonia excelsa	31.57	3.139483478224	39	399	0.9	4.2	1.07	0	42.9	6.2	2
Alphitonia excelsa	38.14	5.38464821355465	39	1539	0.6	4.2	1.23	0.01	42.9	6.2	2
Alphitonia excelsa	34.06	4.07744563013048	39	1181	0.6	4.25	0.9	0.01	42.9	6.2	2
Alphitonia excelsa	32.73	3.45094110877071	39	918	0.25	4.3	0.84	0.01	42.9	6.2	2
Alphitonia excelsa	32.28	3.25351739771936	39	793	0.9	4.3	0.75	0.01	42.9	6.2	2
Alphitonia excelsa	28.95	3.02825380280523	39	146	0.6	3.7	1.12	0.02	42.9	6.2	2
Alphitonia excelsa	35.25	4.46271332080617	39	1515	0.6	4.35	3.24	0.02	42.9	6.2	2
Alphitonia excelsa	33.09	3.61541061406333	39	1023	0.25	4.25	2.23	0.02	42.9	6.2	2
Alphitonia excelsa	36.51	4.84323112018459	39	1343	0.25	4.25	1.12	0.02	42.9	6.2	2
Alphitonia excelsa	36.93	3.40308764754911	39	1280	0.25	4.35	1.25	0.02	42.9	6.2	2
Alphitonia excelsa	34.77	4.49187126093959	39	1335	0.9	3.8	2.78	0.02	42.9	6.2	2
Alphitonia excelsa	35.72	3.91556572141696	39	1226	0.9	4.35	0.93	0.02	42.9	6.2	2
Alphitonia excelsa	36.29	3.57796637310043	39	1267	0.9	4.4	1.57	0.02	42.9	6.2	2
Alphitonia excelsa	30.44	3.31221535387127	39	461	0.25	3.9	2.66	0.04	42.9	6.2	2
Alphitonia excelsa	38.68	4.9374563216152	39	1562	1.85	5.3	0.64	0.01	42.9	6.2	2
Alphitonia excelsa	35.18	3.2206580331496	39	876	1.85	5.4	0.74	0.01	42.9	6.2	2
Alphitonia excelsa	31.19	2.96441716721459	39	164	1.85	5.3	0.25	0.01	42.9	6.2	2
Alphitonia excelsa	37.53	5.22008370259787	39	1727	0.95	5.25	1.51	0.02	42.9	6.2	2
Alphitonia excelsa	36.5	4.8155242388794	39	1189	0.95	5.35	1.49	0.02	42.9	6.2	2
Alphitonia excelsa	34.15	3.44004263387064	39	712	0.95	5.4	0.53	0.02	42.9	6.2	2
Alphitonia excelsa	30.96	3.22278906577883	39	237	0.95	5.3	0.69	0.02	42.9	6.2	2
Alphitonia excelsa	37.44	5.16071735444369	39	1367	2.2	5.45	0.88	0.02	42.9	6.2	2
Alphitonia excelsa	33.11	2.2134637544396	39	451	2.2	5.35	0.7	0.02	42.9	6.2	2
Alphitonia excelsa	30.81	2.94071555006296	39	143	2.2	5.3	0.76	0.02	42.9	6.2	2
Alphitonia excelsa	35.67	4.77453469887579	39	1570	1.85	4.95	0.72	0.02	42.9	6.2	2
Alphitonia excelsa	38.56	5.32696815562622	39	1800	1.85	5.4	0.43	0.02	42.9	6.2	2
Alphitonia excelsa	35.71	4.88119253447229	39	1654	0.95	4.1	1.52	0.03	42.9	6.2	2
Alphitonia excelsa	37.08	4.8619814849267	39	1685	2.2	5.15	1.65	0.03	42.9	6.2	2
Alphitonia excelsa	34.88	4.54633964621156	39	1656	2.2	5.05	4.72	0.05	42.9	6.2	2
Alphitonia excelsa	37.45	2.61983028896691	39	1257	0.3	1.1	2.26	0.03	42.9	6.2	2
Alphitonia excelsa	36.22	2.53133675012395	39	1001	0.2	1.55	4.38	0.11	42.9	6.2	2
Alphitonia excelsa	35.75	2.52186210311004	39	1484	0.2	1.4	7.79	0.12	42.9	6.2	2
Alphitonia excelsa	37.05	2.54034182396405	39	1242	0.25	1.35	4.52	0.13	42.9	6.2	2
Alphitonia excelsa	38.92	2.5077580777312	39	1505	0.25	1.75	6.31	0.14	42.9	6.2	2
Alphitonia excelsa	30.89	2.51592772694899	39	198	0.3	1.3	3.74	0.15	42.9	6.2	2
Alphitonia excelsa	32.18	2.58506499975455	39	412	0.2	1.2	3.42	0.15	42.9	6.2	2
Alphitonia excelsa	31.52	2.63552360553202	39	274	0.25	1.15	5.55	0.16	42.9	6.2	2
Alphitonia excelsa	37.7	2.56949957220396	39	1413	0.2	1.65	7.43	0.29	42.9	6.2	2
Alphitonia excelsa	37.38	2.60992135915886	39	1215	0.25	1.5	6.92	0.3	42.9	6.2	2
Alphitonia excelsa	36.99	2.47041671901786	39	1575	0.2	1.8	10.03	0.31	42.9	6.2	2
Alphitonia excelsa	38.89	2.61780353742269	39	1748	0.3	1.5	5.53	0.32	42.9	6.2	2
Alphitonia excelsa	34.02	2.48357752943504	39	688	0.3	1.9	6.03	0.43	42.9	6.2	2
Alphitonia excelsa	30.72	2.54603138710635	39	391	0.25	1.3	6.83	0.45	42.9	6.2	2
Alphitonia excelsa	35.15	2.77249480247603	39	652	0.3	1.85	3.8	0.04	42.9	6.2	2
Alphitonia excelsa	32.98	2.77445767959107	39	239	0.3	1.15	2.09	0.05	42.9	6.2	2
Alphitonia excelsa	36.94	2.58047877090164	39	1346	0.3	2.85	4.98	0.14	42.9	6.2	2
Alphitonia excelsa	34.03	2.76356854243605	39	678	0.2	1.65	5.69	0.15	42.9	6.2	2
Alphitonia excelsa	36.41	2.55111670075143	39	1408	0.3	1.7	8.38	0.22	42.9	6.2	2
Alphitonia excelsa	35.38	2.73225718591751	39	1186	0.3	1.7	5.91	0.24	42.9	6.2	2
Alphitonia excelsa	34.27	2.78334974361795	39	1210	0.3	1.2	7.81	0.24	42.9	6.2	2
Alphitonia excelsa	32.6	2.78475340898333	39	678	0.2	1	5.41	0.26	42.9	6.2	2
Alphitonia excelsa	36.98	2.62042915577009	39	1659	0.3	1	7.2	0.29	42.9	6.2	2
Alphitonia excelsa	35.67	2.61194888687579	39	1105	0.3	1.25	7.34	0.3	42.9	6.2	2
Alphitonia excelsa	36.56	2.76093978840221	39	1705	0.2	1.2	10.48	0.34	42.9	6.2	2
Alphitonia excelsa	34.15	2.65345989087064	39	863	0.2	1.35	7.84	0.38	42.9	6.2	2
Alphitonia excelsa	34.74	2.59290363159992	39	1251	0.2	1.5	7.55	0.38	42.9	6.2	2
Alphitonia excelsa	33.04	2.76440975620269	39	829	0.3	1.5	8.35	0.71	42.9	6.2	2
Alphitonia excelsa	43.79	2.78831766587735	39	1492	0.25	1.9	0.98	0.02	42.9	6.2	2
Alphitonia excelsa	40.62	2.55494799945075	39	1393	0.25	1.55	1.44	0.02	42.9	6.2	2
Alphitonia excelsa	43.86	2.97814825751079	39	1844	0.25	1.9	1.15	0.03	42.9	6.2	2
Alphitonia excelsa	42.09	2.65211616333212	39	950	0.25	2.25	1.51	0.03	42.9	6.2	2
Alphitonia excelsa	42.47	2.60131800293743	39	983	0.4	2.3	1.77	0.03	42.9	6.2	2
Alphitonia excelsa	39.15	2.51740497013761	39	1226	0.4	1.55	1.28	0.04	42.9	6.2	2
Alphitonia excelsa	42.02	2.77226012965853	39	1176	0.4	1.65	1.95	0.06	42.9	6.2	2
Alphitonia excelsa	38.06	2.53900806530082	39	1251	0.3	1.85	3.44	0.09	42.9	6.2	2
Alphitonia excelsa	37.92	2.75920137586701	39	861	0.3	1.75	6.12	0.18	42.9	6.2	2
Alphitonia excelsa	38.72	2.66805856691504	39	1142	0.3	2.15	5.18	0.21	42.9	6.2	2
Alphitonia excelsa	37.66	3.02955306548893	39	1740	0.4	2.25	6.55	0.4	42.9	6.2	2
Alphitonia excelsa	37.81	3.02935131993997	39	1756	0.3	1.95	6.1	0.43	42.9	6.2	2
Alphitonia excelsa	38.2	3.07881195838242	39	1826	0.3	1.8	6.68	0.5	42.9	6.2	2
Alphitonia excelsa	36.61	3.07088018575034	39	1413	0.4	1.9	4.53	0.54	42.9	6.2	2
Alphitonia excelsa	37.98	3.04911886930285	39	1677	0.25	1.85	5.08	0.56	42.9	6.2	2
