Species	Tleaf	VPA	CO2	PAR	Psoil	Pleaf	A	Gs	Vcmax	WeibullB	WeibullC
Brachychiton australis	36.7	2.68077209814823	39	1521	0.3	1.1	4.34	0.03	57.2	3.6	1.9
Brachychiton australis	37.12	2.61025384599115	39	1784	0.3	1.45	3.38	0.04	57.2	3.6	1.9
Brachychiton australis	34.68	2.70296190543831	39	1213	0.35	1.15	1.78	0.06	57.2	3.6	1.9
Brachychiton australis	36.01	2.71157478743827	39	1575	0.3	1.05	4.75	0.06	57.2	3.6	1.9
Brachychiton australis	40.58	2.62501963230341	39	1962	0.3	1.55	4.89	0.08	57.2	3.6	1.9
Brachychiton australis	36.09	2.46148474181429	39	1510	0.3	2	8.34	0.11	57.2	3.6	1.9
Brachychiton australis	30.33	2.38626085377437	39	1445	0.3	1.55	11.5	0.17	57.2	3.6	1.9
Brachychiton australis	30.09	2.67639642572266	39	409	0.3	1.15	8.22	0.17	57.2	3.6	1.9
Brachychiton australis	34.89	2.47275622248582	39	1481	0.3	1.8	9.38	0.18	57.2	3.6	1.9
Brachychiton australis	32.33	2.45495552278081	39	1470	0.3	1.45	8.64	0.21	57.2	3.6	1.9
Brachychiton australis	34.56	2.48307728198577	39	1458	0.35	2.5	11.81	0.23	57.2	3.6	1.9
Brachychiton australis	37.27	2.58006313162036	39	1771	0.35	1.45	10.06	0.32	57.2	3.6	1.9
Brachychiton australis	34.19	2.65342334199212	39	404	0.3	1.35	10.9	0.34	57.2	3.6	1.9
Brachychiton australis	28.22	2.63731652961533	39	156	0.35	1.35	7.6	0.48	57.2	3.6	1.9
Brachychiton australis	34.56	2.38307728198577	39	678	0.25	1.95	1.82	0.03	57.2	3.6	1.9
Brachychiton australis	41.39	2.42351403022475	39	1844	0.25	1.1	1.76	0.03	57.2	3.6	1.9
Brachychiton australis	35.99	2.50159717732065	39	1286	0.25	1.5	2.58	0.03	57.2	3.6	1.9
Brachychiton australis	40.89	2.37445718508297	39	1911	0.55	1.2	2.92	0.04	57.2	3.6	1.9
Brachychiton australis	36.69	2.50078415872927	39	1445	0.55	1.5	4.79	0.05	57.2	3.6	1.9
Brachychiton australis	39.06	2.38754411281648	39	1894	0.55	1.55	4.06	0.06	57.2	3.6	1.9
Brachychiton australis	36.12	2.4314507737836	39	1330	0.25	1.85	5.53	0.1	57.2	3.6	1.9
Brachychiton australis	34.93	2.50271649447264	39	1518	0.45	1	7.17	0.1	57.2	3.6	1.9
Brachychiton australis	30.36	2.42624360778562	39	1020	0.55	1.4	5.71	0.12	57.2	3.6	1.9
Brachychiton australis	35.86	2.42174153562498	39	1286	0.45	1.8	6.62	0.12	57.2	3.6	1.9
Brachychiton australis	36.63	2.45085625504952	39	1727	0.45	1.9	7.53	0.13	57.2	3.6	1.9
Brachychiton australis	35.63	2.46199199534869	39	1470	0.55	1.9	8.45	0.18	57.2	3.6	1.9
Brachychiton australis	25.81	2.38819350232805	39	125	0.45	1.5	1.89	0.23	57.2	3.6	1.9
Brachychiton australis	38.17	2.51885421824851	39	1873	0.45	1.65	7.93	0.23	57.2	3.6	1.9
Brachychiton australis	25.96	2.40814775389394	39	117	0.25	1.25	1.14	0.28	57.2	3.6	1.9
Brachychiton australis	36.15	1.4214166951685	39	1169	0.4	1.65	9.07	0.04	57.2	3.6	1.9
Brachychiton australis	37.41	1.4398824106854	39	1591	0.5	1.75	11.41	0.04	57.2	3.6	1.9
Brachychiton australis	38.5	1.44838217080255	39	1815	0.45	1.5	9.03	0.05	57.2	3.6	1.9
Brachychiton australis	36.71	2.89076002494784	39	986	0.4	1.15	2.6	0.07	57.2	3.6	1.9
Brachychiton australis	36.38	2.91115174353196	39	1299	0.5	1.1	7.78	0.22	57.2	3.6	1.9
Brachychiton australis	32.81	2.88459163219271	39	312	0.45	0.9	6.89	0.23	57.2	3.6	1.9
Brachychiton australis	37.57	2.88967261631913	39	1695	0.45	1.2	9.12	0.24	57.2	3.6	1.9
Brachychiton australis	36.99	2.96041671901786	39	1059	0.4	1.25	6.86	0.28	57.2	3.6	1.9
Brachychiton australis	39.03	2.97759021551631	39	1823	0.5	1.65	9.84	0.38	57.2	3.6	1.9
Brachychiton australis	38.2	2.98881195838242	39	1713	0.45	1.15	8.33	0.44	57.2	3.6	1.9
Brachychiton australis	36.13	2.90143942582066	39	1784	0.4	0.95	11.22	0.56	57.2	3.6	1.9
Brachychiton australis	40.12	2.59582373457471	39	1178	0.25	2.3	1.97	0.02	57.2	3.6	1.9
Brachychiton australis	45.42	2.77408443418444	39	1909	0.25	2.35	1.64	0.03	57.2	3.6	1.9
Brachychiton australis	44.64	2.76618672555329	39	1911	0.5	2	1.91	0.05	57.2	3.6	1.9
Brachychiton australis	42.99	2.80017918741987	39	1883	0.175	2.25	3.64	0.09	57.2	3.6	1.9
Brachychiton australis	36.89	2.6205404966155	39	928	0.175	2.3	4.71	0.09	57.2	3.6	1.9
Brachychiton australis	37.64	2.59957972820207	39	1082	0.5	2.15	5.61	0.09	57.2	3.6	1.9
Brachychiton australis	42.17	2.88195047289629	39	1883	0.25	1.95	5.75	0.13	57.2	3.6	1.9
Brachychiton australis	37.53	2.92972539259787	39	1656	0.25	2.1	7.3	0.16	57.2	3.6	1.9
Brachychiton australis	41.59	2.89312401698892	39	1975	0.5	1.85	5.16	0.17	57.2	3.6	1.9
Brachychiton australis	33.91	3.10367571239242	39	879	0.25	1.75	8.91	0.17	57.2	3.6	1.9
Brachychiton australis	35.49	3.13214139765161	39	1262	0.5	1.85	9.87	0.19	57.2	3.6	1.9
Brachychiton australis	35.78	3.14182936389917	39	1463	0.175	1.9	9.32	0.27	57.2	3.6	1.9
Brachychiton australis	36.09	2.95148474181429	39	1570	0.5	2.45	8.3	0.33	57.2	3.6	1.9
Brachychiton australis	39.26	2.89723319970615	39	1951	0.175	2.05	7.56	0.39	57.2	3.6	1.9
Brachychiton australis	35.52	2.98210957512362	39	1591	0.175	2.3	9.28	0.55	57.2	3.6	1.9
Brachychiton australis	41.29	2.61370627679113	39	1876	0.6	1.65	0.62	0	57.2	3.6	1.9
Brachychiton australis	39.29	2.33718602432295	39	2146	0.6	1.4	3.84	0.01	57.2	3.6	1.9
Brachychiton australis	39.91	2.58617900283815	39	1974	0.8	1.45	3.66	0.03	57.2	3.6	1.9
Brachychiton australis	37.16	2.62020328202057	39	1989	0.8	1.25	3.33	0.03	57.2	3.6	1.9
Brachychiton australis	31.45	2.64557009529945	39	1108	0.8	1	3.73	0.03	57.2	3.6	1.9
Brachychiton australis	30.98	2.63587193513264	39	1025	0.65	1.1	4.55	0.03	57.2	3.6	1.9
Brachychiton australis	39.73	2.6564777442681	39	1917	0.65	1.2	4.18	0.04	57.2	3.6	1.9
Brachychiton australis	36.7	2.63077209814823	39	1947	0.65	1.2	4.57	0.04	57.2	3.6	1.9
Brachychiton australis	27.54	2.61759629913698	39	204	0.6	1.3	0.79	0.04	57.2	3.6	1.9
Brachychiton australis	36.33	2.36120989975003	39	1749	0.8	1	5.6	0.05	57.2	3.6	1.9
Brachychiton australis	36.68	2.34079620706288	39	1858	0.65	1	5.86	0.06	57.2	3.6	1.9
Brachychiton australis	31.48	2.28555022043663	39	1055	0.6	1.3	5.81	0.06	57.2	3.6	1.9
Brachychiton australis	33.51	2.29402243782509	39	1588	0.65	0.9	5.59	0.07	57.2	3.6	1.9
Brachychiton australis	33.3	2.31419813058784	39	1585	0.8	0.85	8.07	0.1	57.2	3.6	1.9
Brachychiton australis	29.69	2.63661313293458	39	308	0.6	1	4.81	0.1	57.2	3.6	1.9
Brachychiton australis	34.27	2.59334974361795	39	874	0.5	1.5	1.52	0.02	57.2	3.6	1.9
Brachychiton australis	36.92	2.51050350107667	39	1142	0.5	1.7	0.98	0.03	57.2	3.6	1.9
Brachychiton australis	36.13	2.33143942582066	39	1591	0.5	1.55	2.38	0.04	57.2	3.6	1.9
Brachychiton australis	38.14	2.35889634855465	39	1810	0.55	2.02	4.27	0.05	57.2	3.6	1.9
Brachychiton australis	36.11	2.35146210801482	39	1393	0.5	1.4	3.26	0.06	57.2	3.6	1.9
Brachychiton australis	29.99	2.65645167464599	39	574	0.5	1	4.09	0.06	57.2	3.6	1.9
Brachychiton australis	38.13	2.51891036391198	39	1677	0.55	1.5	4.05	0.06	57.2	3.6	1.9
Brachychiton australis	27.99	2.65741421166857	39	128	0.55	1.25	3.24	0.06	57.2	3.6	1.9
Brachychiton australis	30.75	2.67601325693469	39	777	0.475	1.2	6.84	0.06	57.2	3.6	1.9
Brachychiton australis	35.36	2.58227808891942	39	1380	0.55	1.65	5.2	0.07	57.2	3.6	1.9
Brachychiton australis	35.57	2.34205630468105	39	1716	0.55	1.1	6.33	0.08	57.2	3.6	1.9
Brachychiton australis	36.34	2.38119829328291	39	1567	0.475	1.5	8.58	0.08	57.2	3.6	1.9
Brachychiton australis	33.66	2.35389429038392	39	1296	0.475	1.4	8.06	0.09	57.2	3.6	1.9
Brachychiton australis	34.58	2.60305816065248	39	1307	0.475	1.42	8.94	0.1	57.2	3.6	1.9
Brachychiton australis	35.14	2.54250499798485	39	1218	0.475	1.9	8.34	0.14	57.2	3.6	1.9
Brachychiton australis	42.56	2.60112479695334	39	1489	0.65	1.7	2.15	0.01	57.2	3.6	1.9
Brachychiton australis	40.2	2.61568646365154	39	1513	0.65	1.7	2.87	0.03	57.2	3.6	1.9
Brachychiton australis	35.38	2.70225718591751	39	1142	0.65	1.85	3.83	0.03	57.2	3.6	1.9
Brachychiton australis	40.96	2.48432784258916	39	1888	0.65	1.95	3.83	0.04	57.2	3.6	1.9
Brachychiton australis	38.66	2.58814753816655	39	869	0.65	2.1	2.93	0.05	57.2	3.6	1.9
Brachychiton australis	39.13	2.57743599893777	39	1074	0.675	1.85	3.48	0.06	57.2	3.6	1.9
Brachychiton australis	37.59	2.55964614519971	39	1234	0.65	2.05	5.52	0.06	57.2	3.6	1.9
Brachychiton australis	32.13	2.70510105236509	39	647	0.65	1.9	4.24	0.06	57.2	3.6	1.9
Brachychiton australis	35.48	2.39215198183751	39	1529	0.675	1.55	4.64	0.07	57.2	3.6	1.9
Brachychiton australis	39.25	2.58724889330911	39	1638	0.675	1.6	4.73	0.07	57.2	3.6	1.9
Brachychiton australis	33.52	2.72401396408835	39	947	0.675	1.5	5.57	0.07	57.2	3.6	1.9
Brachychiton australis	39.32	2.49713870884116	39	1732	0.675	1.8	3.43	0.08	57.2	3.6	1.9
Brachychiton australis	38.75	2.4680138787698	39	1698	0.65	1.95	4.91	0.09	57.2	3.6	1.9
Brachychiton australis	34.25	2.41336820640821	39	1320	0.65	1.45	6.51	0.11	57.2	3.6	1.9
Brachychiton australis	30.47	2.38617980078829	39	509	0.65	1.6	4.75	0.13	57.2	3.6	1.9

