Species	Tleaf	VPA	CO2	PAR	Psoil	Pleaf	A	Gs	Vcmax	WeibullB	WeibullC
Cochlospermum gillivraei	38.98	2.74766674623177	39	1440	0.45	1.45	3.72	0.07	52.1	2	1.4
Cochlospermum gillivraei	38.09	2.74896627878607	39	1737	0.55	1.55	5	0.09	52.1	2	1.4
Cochlospermum gillivraei	34.35	2.75327547306535	39	1077	0.55	1.15	4.99	0.09	52.1	2	1.4
Cochlospermum gillivraei	37.85	2.78929699183699	39	1539	0.45	1.35	5.75	0.1	52.1	2	1.4
Cochlospermum gillivraei	31.38	2.76561618261839	39	226	0.45	1.05	3.98	0.1	52.1	2	1.4
Cochlospermum gillivraei	33.64	2.54391150560228	39	1137	0.45	1.15	6.67	0.17	52.1	2	1.4
Cochlospermum gillivraei	36.23	2.56132527982005	39	1617	0.55	1.7	7.37	0.17	52.1	2	1.4
Cochlospermum gillivraei	37.43	2.7698563773173	39	1640	0.55	1.55	5.48	0.17	52.1	2	1.4
Cochlospermum gillivraei	33.84	2.74373755010167	39	1184	0.6	1.5	7.29	0.2	52.1	2	1.4
Cochlospermum gillivraei	30.54	2.51613872355206	39	365	0.55	1.25	4.36	0.21	52.1	2	1.4
Cochlospermum gillivraei	33.23	2.49425574288753	39	1262	0.6	1.1	7.69	0.21	52.1	2	1.4
Cochlospermum gillivraei	36.87	2.58056509578384	39	1867	0.45	1.75	5.83	0.24	52.1	2	1.4
Cochlospermum gillivraei	36.74	2.74072372691447	39	1773	0.6	1.5	8.52	0.26	52.1	2	1.4
Cochlospermum gillivraei	31.37	2.53562273380308	39	597	0.6	1.6	6.52	0.37	52.1	2	1.4
Cochlospermum gillivraei	38.31	2.5186558928026	39	1145	0.45	1.55	2.06	0.03	52.1	2	1.4
Cochlospermum gillivraei	41.68	2.39294608813912	39	1048	0.45	1.5	1.72	0.04	52.1	2	1.4
Cochlospermum gillivraei	37.07	2.51031675372832	39	1048	0.275	1.35	5.58	0.07	52.1	2	1.4
Cochlospermum gillivraei	37.1	2.51027904913318	39	1126	0.4	1.45	5.77	0.07	52.1	2	1.4
Cochlospermum gillivraei	39.85	2.29627917092099	39	1072	0.275	1.5	3.66	0.08	52.1	2	1.4
Cochlospermum gillivraei	40.17	2.31573806624835	39	1221	0.4	1.35	3.88	0.1	52.1	2	1.4
Cochlospermum gillivraei	41.57	2.77316335211435	39	1659	0.45	1.4	4.6	0.1	52.1	2	1.4
Cochlospermum gillivraei	40.85	2.78453070517308	39	1768	0.275	1.35	6.62	0.15	52.1	2	1.4
Cochlospermum gillivraei	39.29	2.79718602432295	39	1607	0.4	1.4	6.04	0.24	52.1	2	1.4
Cochlospermum gillivraei	40.04	3.0159599373664	39	1967	0.45	1.5	7.27	0.34	52.1	2	1.4
Cochlospermum gillivraei	39.02	2.96760555243511	39	1748	0.4	1.5	7.38	0.38	52.1	2	1.4
Cochlospermum gillivraei	40.86	1.49451235167335	39	1335	0.55	1.1	3.44	0.01	52.1	2	1.4
Cochlospermum gillivraei	42.35	1.53157311310553	39	1612	0.45	0.95	3.97	0.02	52.1	2	1.4
Cochlospermum gillivraei	39.58	1.47672267816518	39	1140	0.3	1.15	3.83	0.02	52.1	2	1.4
Cochlospermum gillivraei	41.4	2.97349470407064	39	1294	0.45	0.9	2.82	0.03	52.1	2	1.4
