Species	Tleaf	VPA	CO2	PAR	Psoil	Pleaf	A	Gs	Vcmax	WeibullB	WeibullC
Annona hayesii	33.8	2.44128892565624	39	98	2.5875	2.93125	NA	0.00744	13.6	5	4.3
Annona hayesii	31.5	2.69958951926771	39	121	2.9625	3.35625	NA	0.00808	13.6	5	4.3
Annona hayesii	32.6	3.14802366898333	39	500	1.84375	2.60625	NA	0.00891	13.6	5	4.3
Annona hayesii	33.8	2.44128892565624	39	234	2.5875	2.93125	NA	0.00899	13.6	5	4.3
Annona hayesii	34	2.46864790831011	39	107	2.5875	2.93125	NA	0.00899	13.6	5	4.3
Annona hayesii	32.2	2.88556445493404	39	219	1.81875	2.48125	NA	0.00913	13.6	5	4.3
Annona hayesii	30.8	2.59423451856342	39	131	2.9625	3.35625	NA	0.0112	13.6	5	4.3
Annona hayesii	31.5	2.69958951926771	39	202	2.9625	3.35625	NA	0.0123	13.6	5	4.3
Annona hayesii	30.6	2.56479742050636	39	130	2.9625	3.35625	NA	0.0131	13.6	5	4.3
Annona hayesii	30.2	2.50679317503834	39	122	2.9625	3.35625	NA	0.0143	13.6	5	4.3
Annona hayesii	30.9	2.82343243250233	39	990	2.1125	3.21875	NA	0.0146	13.6	5	4.3
Annona hayesii	33.3	2.98774244558784	39	770	2.9625	3.35625	NA	0.015	13.6	5	4.3
Annona hayesii	31.8	3.00907809143299	39	380	1.84375	2.60625	NA	0.017	13.6	5	4.3
Annona hayesii	31.1	2.65700940066292	39	105	1.81875	2.48125	NA	0.0194	13.6	5	4.3
Annona hayesii	31.4	2.90486704919579	39	780	2.1125	3.21875	NA	0.0199	13.6	5	4.3
Annona hayesii	30.6	2.76674966550636	39	85	2.1125	3.21875	NA	0.0217	13.6	5	4.3
Annona hayesii	31.2	2.54496042518481	39	510	1.84375	2.60625	NA	0.023	13.6	5	4.3
Annona hayesii	31.6	2.9751858473086	39	370	1.84375	2.60625	NA	0.0232	13.6	5	4.3
Annona hayesii	30.4	2.7353085114174	39	72	2.1125	3.21875	NA	0.0245	13.6	5	4.3
Annona hayesii	32.5	2.34801750586867	39	95	1.70625	2.1125	NA	0.0249	13.6	5	4.3
Annona hayesii	30.5	2.75099004130302	39	187	2.1125	3.21875	NA	0.0253	13.6	5	4.3
Annona hayesii	31.7	2.6742815464197	39	113	2.5875	2.93125	NA	0.0254	13.6	5	4.3
Annona hayesii	30.5	2.75099004130302	39	124	2.1125	3.21875	NA	0.0267	13.6	5	4.3
Annona hayesii	31.1	2.65700940066292	39	310	1.81875	2.48125	NA	0.0348	13.6	5	4.3
Annona hayesii	32.4	2.85994302007127	39	610	1.81875	2.48125	NA	0.0362	13.6	5	4.3
Annona hayesii	33.5	2.40074381514041	39	80	2.5875	2.93125	NA	0.0363	13.6	5	4.3
Annona hayesii	30.9	2.34110092150233	39	93	1.81875	2.48125	NA	0.04	13.6	5	4.3
Annona hayesii	30	2.47822122108125	39	134	2.1125	3.21875	NA	0.041	13.6	5	4.3
Annona hayesii	31.4	2.40862472219579	39	280	1.81875	2.48125	NA	0.0448	13.6	5	4.3
Annona hayesii	30	2.32550637308125	39	83	2.1125	3.21875	NA	0.0454	13.6	5	4.3
Annona hayesii	32.7	2.88886070499382	39	89	2.1125	3.21875	NA	0.051	13.6	5	4.3
Annona hayesii	31.6	2.4361043233086	39	300	1.81875	2.48125	NA	0.0644	13.6	5	4.3
Annona hayesii	31.5	2.34839497326771	39	182	1.70625	2.1125	NA	0.0645	13.6	5	4.3
Annona hayesii	32.1	2.42950882824575	39	105	1.70625	2.1125	NA	0.0734	13.6	5	4.3
Annona hayesii	32.1	2.79283281724575	39	1060	2.1125	3.21875	NA	0.0764	13.6	5	4.3
Annona hayesii	31.3	2.66911543671853	39	940	2.1125	3.21875	NA	0.0848	13.6	5	4.3
Annona hayesii	28.5	3.81344236807811	39	310	0.725	0.85	NA	0.148	13.6	5	4.3
Annona hayesii	28.9	3.44094955005664	39	123	0.55	0.75	NA	0.175	13.6	5	4.3
Annona hayesii	28.1	3.23930396311163	39	120	0.346666667	1.23	NA	0.185	13.6	5	4.3
Annona hayesii	28.2	3.74758085058588	39	280	0.725	0.85	NA	0.216	13.6	5	4.3
Annona hayesii	28.3	3.76942380507904	39	480	0.725	0.85	NA	0.216	13.6	5	4.3
Annona hayesii	28	3.49259746517326	39	152	0.4375	0.8	NA	0.236	13.6	5	4.3
Annona hayesii	28.5	3.58001313507811	39	91	0.725	0.85	NA	0.252	13.6	5	4.3
Annona hayesii	28	3.49259746517326	39	186	0.4375	0.8	NA	0.28	13.6	5	4.3
Annona hayesii	28.6	3.27213093658493	39	79	0.3625	1.04375	NA	0.322	13.6	5	4.3
Annona hayesii	27.6	3.41207344905261	39	221	0.4375	0.8	NA	0.351	13.6	5	4.3

