Species	Tleaf	VPA	CO2	PAR	Psoil	Pleaf	A	Gs	Vcmax	WeibullB	WeibullC
Cojoba rufescens	37.4	2.92489825789559	39	460	3.425	4.4	NA	0.00073	26.4	4.5	2
Cojoba rufescens	36.1	2.72459321389731	39	206	3.425	4.4	NA	0.00114	26.4	4.5	2
Cojoba rufescens	33.2	2.25907161174641	39	110	3.425	4.4	NA	0.00153	26.4	4.5	2
Cojoba rufescens	34.3	3.72145488232239	39	730	1.883333333	2.625	NA	0.0034	26.4	4.5	2
Cojoba rufescens	30.6	2.93357978050636	39	107	1.56875	2.975	NA	0.0043	26.4	4.5	2
Cojoba rufescens	36	2.63841539194098	39	1310	3.425	4.4	NA	0.00556	26.4	4.5	2
Cojoba rufescens	36.3	2.75461296728215	39	219	3.425	4.4	NA	0.0061	26.4	4.5	2
Cojoba rufescens	35.3	2.95024280264999	39	340	1.56875	2.975	NA	0.00616	26.4	4.5	2
Cojoba rufescens	37.7	2.97289238420396	39	350	3.425	4.4	NA	0.00623	26.4	4.5	2
Cojoba rufescens	33.6	2.31017974131783	39	231	3.425	4.4	NA	0.00654	26.4	4.5	2
Cojoba rufescens	34	2.21338479231011	39	86	3.425	4.4	NA	0.00659	26.4	4.5	2
Cojoba rufescens	35.2	2.63845558942328	39	390	2	3.325	NA	0.00712	26.4	4.5	2
Cojoba rufescens	37.5	2.68297571503518	39	660	3.425	4.4	NA	0.00714	26.4	4.5	2
Cojoba rufescens	34.5	2.60382606826179	39	147	1.85625	2.69375	NA	0.0072	26.4	4.5	2
Cojoba rufescens	36.3	2.85122110128215	39	132	1.56875	2.975	NA	0.00749	26.4	4.5	2
Cojoba rufescens	35.6	2.58105591355088	39	139	1.85625	2.69375	NA	0.00749	26.4	4.5	2
Cojoba rufescens	39.6	3.40847652101054	39	670	1.56875	2.975	NA	0.00752	26.4	4.5	2
Cojoba rufescens	36.3	2.17496416528215	39	1185	2.7625	3.06875	NA	0.00783	26.4	4.5	2
Cojoba rufescens	35.4	2.66771956840612	39	670	2	3.325	NA	0.00801	26.4	4.5	2
Cojoba rufescens	32.7	2.75040231299382	39	430	1.76875	2.275	NA	0.0085	26.4	4.5	2
Cojoba rufescens	38.1	3.1444883985625	39	746	1.56875	2.975	NA	0.00852	26.4	4.5	2
Cojoba rufescens	33.6	2.31017974131783	39	89	3.425	4.4	NA	0.00859	26.4	4.5	2
Cojoba rufescens	34.4	2.41541353257922	39	350	3.425	4.4	NA	0.00879	26.4	4.5	2
Cojoba rufescens	37.5	2.32199204003518	39	1400	2.7625	3.06875	NA	0.00927	26.4	4.5	2
Cojoba rufescens	35	2.33964705074568	39	370	3.425	4.4	NA	0.00929	26.4	4.5	2
Cojoba rufescens	33.5	3.55920753514041	39	450	1.883333333	2.625	NA	0.00963	26.4	4.5	2
Cojoba rufescens	35.2	2.91127577342328	39	350	0.5	2.53125	NA	0.0098	26.4	4.5	2
Cojoba rufescens	36.4	2.69687631693097	39	218	3.425	4.4	NA	0.0103	26.4	4.5	2
Cojoba rufescens	34.9	2.5503589555549	39	171	3.425	4.4	NA	0.0106	26.4	4.5	2
Cojoba rufescens	35	2.49704397174568	39	1320	3.425	4.4	NA	0.0106	26.4	4.5	2
Cojoba rufescens	38.8	3.56965436271102	39	750	1.56875	2.975	NA	0.0107	26.4	4.5	2
Cojoba rufescens	33.1	3.48041179554524	39	330	1.883333333	2.625	NA	0.0108	26.4	4.5	2
Cojoba rufescens	34	2.36228827631011	39	750	3.425	4.4	NA	0.0112	26.4	4.5	2
Cojoba rufescens	35.7	2.10452525065496	39	235	2.7625	3.06875	NA	0.0112	26.4	4.5	2
Cojoba rufescens	34.1	2.54659881693551	39	85	1.85625	2.69375	NA	0.0113	26.4	4.5	2
Cojoba rufescens	35.9	2.74211367183589	39	890	2	3.325	NA	0.0113	26.4	4.5	2
Cojoba rufescens	35.7	2.78225279965496	39	940	1.85625	2.69375	NA	0.0116	26.4	4.5	2
Cojoba rufescens	37.4	2.66844875989559	39	300	3.425	4.4	NA	0.0118	26.4	4.5	2
Cojoba rufescens	34.8	2.31390662140608	39	480	3.425	4.4	NA	0.0123	26.4	4.5	2
Cojoba rufescens	35	3.86864571774568	39	770	1.883333333	2.625	NA	0.0127	26.4	4.5	2
Cojoba rufescens	34.8	2.46957203340608	39	108	1.85625	2.69375	NA	0.0127	26.4	4.5	2
Cojoba rufescens	35.7	2.59529347565496	39	98	1.85625	2.69375	NA	0.0127	26.4	4.5	2
Cojoba rufescens	37.8	2.72696823060422	39	830	3.425	4.4	NA	0.0128	26.4	4.5	2
Cojoba rufescens	31.7	2.4405986534197	39	166	1.45625	2.25125	NA	0.0131	26.4	4.5	2
Cojoba rufescens	34.1	2.31130168593551	39	110	2	3.325	NA	0.0133	26.4	4.5	2
Cojoba rufescens	35.7	2.66540322265496	39	870	3.425	4.4	NA	0.0134	26.4	4.5	2
Cojoba rufescens	32	2.89118837717025	39	98	1.45625	2.0625	NA	0.0136	26.4	4.5	2
Cojoba rufescens	35.1	2.57870857205587	39	116	3.425	4.4	NA	0.0137	26.4	4.5	2
Cojoba rufescens	36.7	2.91425710114823	39	300	1.56875	2.975	NA	0.0137	26.4	4.5	2
Cojoba rufescens	36	2.70968994794098	39	238	3.425	4.4	NA	0.014	26.4	4.5	2
Cojoba rufescens	33.8	2.33610794365624	39	820	3.425	4.4	NA	0.0141	26.4	4.5	2
Cojoba rufescens	35.2	2.04734519142328	39	189	2.7625	3.06875	NA	0.0143	26.4	4.5	2
Cojoba rufescens	37.5	2.94082119803518	39	420	3.425	4.4	NA	0.0146	26.4	4.5	2
Cojoba rufescens	32.8	1.99014421524727	39	129	2.7625	3.06875	NA	0.0147	26.4	4.5	2
Cojoba rufescens	35.9	2.62397294383589	39	1000	1.85625	2.69375	NA	0.0148	26.4	4.5	2
Cojoba rufescens	37.8	2.36006604560422	39	1000	2.7625	3.06875	NA	0.0149	26.4	4.5	2
Cojoba rufescens	36.2	2.16308441545878	39	134	2.7625	3.06875	NA	0.0152	26.4	4.5	2
Cojoba rufescens	34.4	2.17616056357922	39	127	2.7625	3.06875	NA	0.0153	26.4	4.5	2
Cojoba rufescens	30.6	2.74040806850636	39	88	1.65375	3	NA	0.0154	26.4	4.5	2
Cojoba rufescens	31.7	2.8425332294197	39	110	1.45625	2.0625	NA	0.0156	26.4	4.5	2
Cojoba rufescens	35.6	2.74374795555088	39	270	1.56875	2.975	NA	0.0156	26.4	4.5	2
Cojoba rufescens	36.3	2.85122110128215	39	167	1.56875	2.975	NA	0.0157	26.4	4.5	2
Cojoba rufescens	35.3	2.95024280264999	39	147	1.56875	2.975	NA	0.0159	26.4	4.5	2
Cojoba rufescens	35.9	3.04927956483589	39	1250	1.56875	2.975	NA	0.016	26.4	4.5	2
Cojoba rufescens	36.6	2.89838599251613	39	125	1.56875	2.975	NA	0.0161	26.4	4.5	2
Cojoba rufescens	33.2	2.03530352074641	39	510	2.7625	3.06875	NA	0.0162	26.4	4.5	2
Cojoba rufescens	33.2	2.03530352074641	39	290	2.7625	3.06875	NA	0.0164	26.4	4.5	2
Cojoba rufescens	33.2	2.32009927274641	39	94	0.75	1.98125	NA	0.0165	26.4	4.5	2
Cojoba rufescens	33.4	2.05821482510797	39	1240	2.7625	3.06875	NA	0.0165	26.4	4.5	2
Cojoba rufescens	32.4	1.94585739007127	39	101	2.7625	3.06875	NA	0.0168	26.4	4.5	2
Cojoba rufescens	34	2.29847249731011	39	239	2	3.325	NA	0.0169	26.4	4.5	2
Cojoba rufescens	36.2	2.66750707945878	39	1230	1.85625	2.69375	NA	0.017	26.4	4.5	2
Cojoba rufescens	35.5	2.98294053723379	39	320	1.56875	2.975	NA	0.0171	26.4	4.5	2
Cojoba rufescens	36	2.37707535194098	39	138	1.85625	2.69375	NA	0.0171	26.4	4.5	2
Cojoba rufescens	37.1	2.27205476013318	39	1480	2.7625	3.06875	NA	0.0171	26.4	4.5	2
Cojoba rufescens	32.9	2.00135168986321	39	104	2.7625	3.06875	NA	0.0172	26.4	4.5	2
Cojoba rufescens	32.6	2.81365320798333	39	143	2.535	3.01	NA	0.0174	26.4	4.5	2
Cojoba rufescens	32.9	2.78147805086321	39	95	1.76875	2.275	NA	0.0174	26.4	4.5	2
Cojoba rufescens	34.1	2.14017649993551	39	670	2.7625	3.06875	NA	0.0174	26.4	4.5	2
Cojoba rufescens	33	2.01261391673732	39	650	2.7625	3.06875	NA	0.0175	26.4	4.5	2
Cojoba rufescens	33.4	2.05821482510797	39	350	2.7625	3.06875	NA	0.0179	26.4	4.5	2
Cojoba rufescens	29.5	2.86968325485697	39	118	1.56875	2.975	NA	0.0182	26.4	4.5	2
Cojoba rufescens	35.2	2.27469534442328	39	440	1.85625	2.69375	NA	0.0183	26.4	4.5	2
Cojoba rufescens	30.6	2.74040806850636	39	121	1.65375	3	NA	0.0184	26.4	4.5	2
Cojoba rufescens	34.1	3.68030317593551	39	560	1.883333333	2.625	NA	0.0184	26.4	4.5	2
Cojoba rufescens	36.3	2.87537313428215	39	124	1.85625	2.69375	NA	0.0185	26.4	4.5	2
Cojoba rufescens	32	3.27148048517025	39	96	1.883333333	2.625	NA	0.0186	26.4	4.5	2
Cojoba rufescens	32.1	2.49643693124575	39	290	1.45625	2.25125	NA	0.0186	26.4	4.5	2
Cojoba rufescens	31.7	2.6742815464197	39	101	2	3.325	NA	0.0192	26.4	4.5	2
Cojoba rufescens	37.3	3.0110740537366	39	330	1.56875	2.975	NA	0.0193	26.4	4.5	2
Cojoba rufescens	32.9	2.42141973086321	39	87	1.45625	2.25125	NA	0.0196	26.4	4.5	2
Cojoba rufescens	31.6	2.4268098133086	39	149	1.45625	2.25125	NA	0.0197	26.4	4.5	2
Cojoba rufescens	35.3	2.60733102764999	39	96	3.425	4.4	NA	0.0198	26.4	4.5	2
Cojoba rufescens	37.3	2.2969058767366	39	1030	2.7625	3.06875	NA	0.02	26.4	4.5	2
Cojoba rufescens	36.9	3.22074934924211	39	1410	1.56875	2.975	NA	0.0202	26.4	4.5	2
Cojoba rufescens	32	3.27148048517025	39	1280	1.883333333	2.625	NA	0.0204	26.4	4.5	2
Cojoba rufescens	34.3	2.59670436032239	39	175	1.76875	2.275	NA	0.0205	26.4	4.5	2
Cojoba rufescens	34.5	2.27575651626179	39	310	3.425	4.4	NA	0.0207	26.4	4.5	2
Cojoba rufescens	32	2.89118837717025	39	117	1.45625	2.0625	NA	0.0208	26.4	4.5	2
Cojoba rufescens	31.8	2.68946507443299	39	105	2	3.325	NA	0.021	26.4	4.5	2
Cojoba rufescens	34.2	2.32419295249531	39	570	2	3.325	NA	0.021	26.4	4.5	2
Cojoba rufescens	35.5	2.08148926823379	39	126	2.7625	3.06875	NA	0.021	26.4	4.5	2
Cojoba rufescens	32.3	3.32735178577733	39	227	1.883333333	2.625	NA	0.0213	26.4	4.5	2
