Species	Tleaf	VPA	CO2	PAR	Psoil	Pleaf	A	Gs	Vcmax	WeibullB	WeibullC
Picea abies	27.13	1.99404492430935	40.008	799	0.36	0.948	13.13457041	0.184272207	43	4.7	3.3
Picea abies	27.5	2.01381109243154	39.972	799	0.28	0.959	6.335077179	0.118335853	43	4.7	3.3
Picea abies	27.5	2.00731167443154	39.988	799	0.36	0.98	8.917290162	0.100384699	43	4.7	3.3
Picea abies	27.87	2.0225288386174	39.975	799	0.36	0.686	4.908415191	0.039355399	43	4.7	3.3
Picea abies	28.8	2.27069531422299	40.09	799	0.3	0.743	6.643482227	0.082037802	43	4.7	3.3
Picea abies	29.49	2.39616235632976	40.114	799	0.25	0.829	8.288655221	0.064031228	43	4.7	3.3
Picea abies	29.89	2.56779221038062	40.048	801	0.23	0.819	6.863679273	0.066453093	43	4.7	3.3
Picea abies	29.52	2.57900221525505	40.084	800	0.21	0.689	5.316182955	0.081942077	43	4.7	3.3
Picea abies	29.78	2.73867479640468	40.102	800	0.31	1.072	2.483002357	0.122564588	43	4.7	3.3
Picea abies	30.15	2.85998251363298	40.141	798	0.25	1.128	7.193585376	0.138483567	43	4.7	3.3
Picea abies	29.93	2.85870675929904	40.129	801	0.22	0.894	4.125929707	0.188198039	43	4.7	3.3
Picea abies	29.97	2.88713826212817	40.135	799	0.28	0.819	4.50785468	0.133949778	43	4.7	3.3
Picea abies	29.8	2.82453029410886	39.962	801	0.2	0.9	2.943482161	0.112925961	43	4.7	3.3
Picea abies	29.11	2.71824788613021	39.966	801	0.27	1.028	4.109256067	0.127025751	43	4.7	3.3
Picea abies	28.61	2.63182694905345	39.936	800	0.24	0.854	4.281690793	0.12716227	43	4.7	3.3
Picea abies	28.61	2.57797804705345	39.936	800	0.25	0.878	4.510676055	0.128591675	43	4.7	3.3
Picea abies	28.86	2.62031773458951	39.958	800	0.26	0.955	5.98605031	0.208451569	43	4.7	3.3
Picea abies	28.57	2.54820014121461	39.935	800	0.25	0.959	4.079528298	0.242700143	43	4.7	3.3
Picea abies	28.56	2.55347002115463	39.917	800	0.29	1.19	6.355991044	0.181172259	43	4.7	3.3
Picea abies	28.22	2.40440554561533	39.897	801	0.31	1.239	4.178923551	0.128919765	43	4.7	3.3
Picea abies	28.08	2.39051034841235	39.896	801	0.22	1.208	6.964394756	0.120010428	43	4.7	3.3
Picea abies	27.97	2.35268858336497	39.891	800	0.23	0.94	4.859370153	0.132029609	43	4.7	3.3
Picea abies	27.85	2.33122610708875	39.907	800	0.25	1.012	3.123457702	0.56361953	43	4.7	3.3
Picea abies	27.83	2.29179770926788	39.912	799	0.24	0.986	2.875221715	0.265523312	43	4.7	3.3
Picea abies	28.02	2.26622402826345	39.91	799	0.2	1.159	1.301039981	0.146054031	43	4.7	3.3
Picea abies	27.94	2.29986727155379	39.928	800	0.34	1.138	4.699741705	0.278950622	43	4.7	3.3
Picea abies	27.99	2.26834305066857	39.924	800	0.23	0.938	4.211832867	0.15366651	43	4.7	3.3
Picea abies	27.89	2.33797264763665	39.945	800	0.27	1.098	3.062379589	0.678227922	43	4.7	3.3
Picea abies	27.87	2.3720241266174	39.959	799	0.43	0.659	4.148072137	0.576815905	43	4.7	3.3
Picea abies	28.22	2.30785652861533	39.983	799	0.35	0.99	5.846740776	0.292064372	43	4.7	3.3
Picea abies	28.45	2.42132664092173	39.989	800	0.25	0.838	5.761309217	0.384934356	43	4.7	3.3
Picea abies	28.4	2.36006815667819	40.013	800	0.3	1.108	6.267898825	0.194926707	43	4.7	3.3
Picea abies	28.38	2.42378395861972	40.004	800	0.24	0.995	4.01704233	0.424267338	43	4.7	3.3
