Species	Tleaf	VPA	CO2	PAR	Psoil	Pleaf	A	Gs	Vcmax	WeibullB	WeibullC
Acer campestre	19.59	1.39311667418722	39.055	1200.07	0.524325	0.738	8.73636345	0.119835328	36.6	4.8	3.8
Acer campestre	19.79	1.48069273303158	38.692	1200.2	0.2909451	0.738	11.58351088	0.2359269	36.6	4.8	3.8
Acer campestre	19.9	1.49651295694942	38.784	1199.72	0.371799	0.738	9.768333366	0.191192174	36.6	4.8	3.8
Acer campestre	20.47	1.53267442442653	38.793	1199.9	0.4576474	0.738	10.656486	0.142909214	36.6	4.8	3.8
Acer campestre	20	1.51617774938026	38.915	1200.2	0.372134	0.738	10.50042082	0.18853719	36.6	4.8	3.8
Acer campestre	20.54	1.5217496166249	38.8	1200.35	0.4283257	0.738	10.11876371	0.158995355	36.6	4.8	3.8
Acer campestre	20.91	1.5555750199725	38.549	1200.02	0.4841928	0.738	12.20211534	0.127468919	36.6	4.8	3.8
Acer campestre	20.79	1.59928154599978	38.266	1199.71	0.3438118	0.738	15.2805525	0.192565937	36.6	4.8	3.8
Acer campestre	19.77	1.1828536961867	38.462	1199.9	0.242439	0.738	16.73544225	0.327491574	36.6	4.8	3.8
Acer campestre	19.79	1.19459606703158	38.527	1200.39	0.2847311	0.738	14.61050337	0.296591478	36.6	4.8	3.8
Acer campestre	19.79	1.20139142703158	39.014	1199.82	0.3560849	0.738	11.90478433	0.248457674	36.6	4.8	3.8
Acer campestre	20.86	1.30715569116867	38.964	1200.29	1.1654186	1.41	8.220435952	0.145281245	36.6	4.8	3.8
Acer campestre	20.64	1.82359767805995	39.556	1200.28	0.907745	1.1	5.877952286	0.082160774	36.6	4.8	3.8
Acer campestre	23.29	1.57010279885483	39.243	1200.35	1.0133151	1.2	9.01666353	0.092568525	36.6	4.8	3.8
Acer campestre	21.51	1.48387020059304	39.199	1200.22	1.3614694	1.6	10.54209366	0.124202042	36.6	4.8	3.8
Acer campestre	21.16	1.37518480299074	38.904	1199.94	0.6767509	0.98	10.2108452	0.172152898	36.6	4.8	3.8
Acer campestre	19.57	1.41158724112955	39.771	1199.85	3.2345765	3.3	2.202599739	0.028730338	36.6	4.8	3.8
Acer campestre	19.75	1.20465878340007	39.319	1199.18	1.4931167	1.7	6.969876674	0.132225073	36.6	4.8	3.8
Acer campestre	20.42	1.85110855210994	39.249	1199.67	0.7306586	1.22	8.198152659	0.206027793	36.6	4.8	3.8
Acer campestre	23.61	1.59059041912562	39.316	1199.81	1.8690182	2.05	6.11813386	0.086023216	36.6	4.8	3.8
Acer campestre	22.4	1.41814084017796	39.5	1200.44	1.3596919	1.52	4.118152412	0.087456155	36.6	4.8	3.8
Acer campestre	21.42	1.44148061136697	39.109	1199.75	1.1445968	1.48	9.82238873	0.180531553	36.6	4.8	3.8
Acer campestre	19.44	1.58280191413526	40.024	1200.89	3.66881	3.75	-0.321926066	0.027539391	36.6	4.8	3.8
Acer campestre	19.7	1.24419133889514	39.097	1200.06	1.2267808	1.5	7.927352462	0.170225552	36.6	4.8	3.8
Acer campestre	18.91	1.33021257499184	40.087	60.88	4.0215667	4.02	-1.339959061	-0.000552682	36.6	4.8	3.8
Acer campestre	19.9	1.23731657394942	39.016	1199.96	1.2191403	1.47	8.797779608	0.157237777	36.6	4.8	3.8
Acer campestre	19.66	1.45388505021118	39.885	1199.88	2.9801567	3.043	1.112810528	0.028495217	36.6	4.8	3.8
Acer campestre	19.76	1.44397009733899	40.039	1199.72	4.9385737	4.95	-0.037327652	0.002019868	36.6	4.8	3.8
Acer campestre	19.78	1.19136480929894	39.744	1200	2.969223	3	2.238123093	0.017131168	36.6	4.8	3.8
Acer campestre	19.63	1.60074750570395	39.861	1199.6	2.6967541	2.75	1.310500596	0.023146326	36.6	4.8	3.8
Acer campestre	19.81	1.26298219978225	39.191	1200.34	1.921607	2.1	5.918785065	0.106450719	36.6	4.8	3.8
Acer campestre	19.06	1.39798644739512	39.572	1199.14	2.6671354	2.77	5.741689526	0.051247813	36.6	4.8	3.8
Acer campestre	19.31	1.49180255576574	39.857	1200.4	3.4566447	3.57	2.620403914	0.043752054	36.6	4.8	3.8
Acer campestre	17.86	1.1010295905659	39.873	1200.18	3.8531644	3.87	1.047337904	0.007714554	36.6	4.8	3.8
Acer campestre	18.52	1.43231512480381	40.093	1200.32	4.7758071	4.9	-0.836591096	0.024188843	36.6	4.8	3.8
Acer campestre	18.8	1.47592923207088	39.562	1200.68	2.9705418	3.1	7.478816543	0.057524579	36.6	4.8	3.8
Acer campestre	19.27	1.49776841794987	39.914	1200.67	3.0328758	3.17	2.184801989	0.059147758	36.6	4.8	3.8
Acer campestre	17.83	1.12037003946347	39.944	1200.81	5.0510338	5.07	0.49352585	0.003898176	36.6	4.8	3.8
Acer campestre	18.83	1.37805250257671	39.973	1199.86	2.9581332	2.966666667	0.44701017	0.004121294	36.6	4.8	3.8
Acer campestre	18.23	1.33141640657503	40.066	1199.73	5.3620638	5.44	-0.775950325	0.009561535	36.6	4.8	3.8
Acer campestre	20.32	1.45636653922164	40.065	1200.22	5.319128	5.57	-0.112807849	0.0268496	36.6	4.8	3.8

